This will go into effect following full…,positive
"Death toll from Covid-19 in US surpasses 700,000 people myedgeprop",negative
"COVID-19 infection rates are high in our borough and rising again. If you have symptoms, self-isolate and book a PCR t…",negative
COVID-19 Vaccination  Camp  volunteers👏👏,negative
In order to find out if You needs Any of,positive
Almost 50% of deaths on Joe Biden's watch!,negative
Disney Theatrical Productions said it will cancel all shows unti…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"U.S. Coronavirus Death Toll Surpasses 700,000 Despite Wide Availability of Vaccines  The map is s…",negative
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
as we convinced ourselves the pandemic is over.,negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"Having spent the last 3.5 years continually ridiculing and mocking the Prime Minster, I’m sure the Premier’s posture was the u…",positive
"An Instagram post shared an alarming headline that babies whose mothers got the COVID-19 died after being breastfed, citing a VAERS report as a source. But health experts and evidence show that it's not possible for babies to be harmed by this.",negative
Best state in the country,positive
Public health experts remain optimistic about downward trend in COVID-19 cases in Florida    COVID-19,negative
"India reports 24,354 new COVID-19 infections in last 24 hours",negative
65% say…,positive
But the CDC is still telling vaccinated people to wear masks,neutral
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"The CDC reports that over 80% of COVID-19 vaccine adverse events, hospitalizations, and deaths occur within 14-days of get…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
(D…,positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
(( COVID-19 antibody test first )),negative
Block Moga Panjab,positive
The Covid-19 Vaxes,positive
"",""
It took years to get my rescue cat to actually speak up and say something if her food dish was empty when it shouldn't…,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
"Merck Says Antiviral Pill for COVID-19 is Effective, Plans to File for Emergency Authorization",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"Diphtheria, Tetanus, and Pertussis",negative
Super simple poll.,positive
BCEd KidsB4COVID h…,neutral
Who would have thought.. young healthy individuals aren’t greatly impacted by this… it’s the unhealthly population that i…,negative
"India logs 24,354 new COVID-19 cases, 234 fresh fatalities",negative
The acting Chief Medical Officer of Health Dr. Catherine Elliott declares a COVID-19 outbreak at the Ghùch Tiâ Community Scho…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"US records more than 700,000 deaths to Covid-19",negative
To protect everyone from the COVID-19 the  orgainse FreeCovidVaccination at various places..,positive
"Alberta ER doctor says hospital capacity crisis was ‘created,’ has nothing to do with COVID-19 - LifeSite",negative
Covid-19 Report For 1st October,positive
deaths million according,negative
Can they be reformed?,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
