65% say…,positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"It is immensely depressing to consider that one day, COVID-19 will be the same.",negative
Knox County teacher says exposure to COVID-19 at school led to the death of his mother  via …,negative
We recruited 11 participants that were diagnosed with COVID-19 and studied each for 3 days in a controlled chamber wit…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
The Covid anti vaxxers are ridiculous.,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
COVID-19 Vaccination  Camp  volunteers👏👏,negative
Book your jab i…,positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"\"COVID-19 should also be put in the context of other risks. COVID-19 has a lower annual mortality risk to children tha…",negative
This doesn't look like an error. It looks intentional. She pick up the empty syringe. When injected she notice that the syrin…,negative
BREAKING --&gt; American Airlines announced Friday that employees will need to be vaccinated against COVID-19 in order to remain…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
NEW California Governor Newsom says children will be required to get vaccinated against COVID-19 to come to school; mandate t…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Why max 100 people in a Funeral but max 75…,negative
There should be laws prohibiting the government from lying in PSAs.,negative
"",""
United Airlines Set to Terminate 593 Workers for Refusing COVID-19 Vaccine,negative
"BREAKING Wisconsin Sen. Johnson says COVID-19 peaked before rollout of vaccines, resurges after mass vaccinations.",negative
"",""
"",""
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
This will go into effect following full…,positive
Remember- being fully Vaccinated against Covid-19 provides stronger &amp; longer-lasting protection than natural immunity…,positive
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Block Moga Panjab,positive
"Type Any type of blood (fyi, kalau pakai hospital blood bank kita boleh gnti dengan any type of bl…",positive
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
"Please, get vaccinated - and help family and friends…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"\"Rural America\" = Trump red states.",neutral
The world is facing an unprecedented challenge by the growing COVID-19 pandemic. Dera Sacha Sauda organizing FreeCovidVa…,positive
Rob Stokes won't change Gladys Berejiklian's COVID-19 exit plan if he becomes next NSW Premier,negative
Pharmaceutical company Merck says research found its experimental COVID-19 pill reduced hospitalizations and deaths by half…,negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"Many experts now agree with Sen. Rand Paul that America's most famous doctor, Anthony Fauci, was wrong about mask mandates, the o…",positive
Bad news for the Left,negative
Super simple poll.,positive
Super simple poll.,positive
"\"Those employees who are granted an exemption for religious or medical reasons “may be subject to additional protocols...\" [list is pretty extensive]",positive
↓,neutral
FreeCovidVaccination,neutral
Fresh News,positive
This will go into effect following full…,positive
How to get sued into oblivion 101.,neutral
