"",""
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
California becomes the first state to require COVID-19 vaccines for eligible kids – The San Francisco Examiner,negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid-…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Oxford University study finds fully vaccinated Healthcare workers carry 251 times viral load compared to the unvaccinated…,negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
Moderna CEO Predicts Pandemic Could End in 2022 Here’s Why the Stock Could Plunge If He’s Right The biotech’s COVID-1…,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"Will the witness answer the question? Why would the MAKERS of Ivermectin, with BILLIONS OF DOLLARS to gain, put out this st…",positive
ACT records its highest ever number of daily COVID-19 cases and two more...  via,negative
Devin Booker Back With Suns After COVID-19 Battle,positive
"AND IF THAT'S THE \"OFFICIAL\" FIGURES, THE REAL NUMBER, IS HIGHER.",negative
"Covid-19 Deaths before and after mass vaccination programs! All for a “Virus” with a 99,7% survival rate.   Just Say No  o…",positive
"Alhamdulillah. Just completed my 2nd Pfizer shot. So in total i had received 4 doses of covid-19 vaccines, Sinopharm &amp;…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Keep trying,positive
"Tune in now for this morning’s COVID-19 briefing with Dr. Fauci, Dr. Murthy, Dr. Walensky, and Jeff Zients.",positive
"conducted brief dialogue on anti-criminality campaign against illegal drugs, continuous campaign against sexual assault, illegal gambling, anti-terrorism in relation to E.O. 70 and COVID-19 updates.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
An Alternative Oktoberfest in Munich,positive
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Children ages 5 to 11 will need to provide proof of a nega…,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"As COVID-19 cases in schools spiral, parents are desperate for information - The Globe and Mail",negative
"Aideen Mullholland, Clinical Lead at Fairyhouse COVID-19 Vaccination Centre in the neurodiversity room.",negative
"New Deaths 20 (26,126 to date)",positive
Why max 100 people in a Funeral but max 75…,negative
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine – The Expose,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Interesting short paper from the US. It found the ratio of excess deaths to official COVID-19 deaths was higher where,negative
"",""
Current Hos…,positive
"Over 88.14 crore COVID-19 vaccine doses given to states, UTs Health ministry",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Get vaccinated.,positive
I keep learning new things about Science,positive
- a…,positive
“The biggest lesson from the Covid-19 fight is that India has an unparalleled ability to unite and a tremendous capaci…,positive
why does everyone pretend this is the only thing they’ve ever been forced to do as an American?,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"Thanks to a Whistleblower that came forth to Attorney Thomas Renz, hard data from the largest database available in the U.S.…",positive
"I’m trying to feel bad for California voters, but they 100% deserve this.  Feel awful for the kids though.",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
↓,neutral
"Dozens of local restaurants and pubs in Munich are keeping the Oktoberfest tradition alive, while the festival grounds again hosts COVID-19 testing centers.",positive
↓,neutral
Children &amp; ad…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"Like, politicians announce vaccine mandates for kids",negative
