All guests age 12 a…,positive
7 Day Covid Growth in Deaths per 1K Population by County For TX   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"They also comment about the weather, yet they are not Meteorologists. They talk about how nice wine is, yet they are not…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"My team is launching Airocide , I was already committed to go on holiday by the time they sent invitation. Airocide is a maj…",negative
Ivermectin is approved for the treatment of parasitic worm infections. It is NOT for treating COVID19. Using this produ…,negative
Why is this article even relevant? Oh i forgot there are a bunch of Donald trump/ Vladimir Putin lovin mutherfuckers in the Republican party that care abt it? Commie basturds!🖕,negative
"“Symptoms of COVID-19 persist or recur months after diagnosis for more than a third of all people who get the illness,…",negative
VICTORIANS today Chairman  announced tyranny on hundreds of thousands of Victorians to submit to a COVID-…,positive
R.I.P.....to the truth...,positive
A pediatric cardiologist on thhe relative risk equation re myocarditis as a complication of the mRNA vaccines and the ca…,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
NEW paper COVID-19 Pandemic and Exercise (COPE) trial a multigroup pragmatic randomised controlled trial examining ef…,negative
"I ACTUALLY BELIEVE THE \"SCENCE\" THEORY OF BLOOD LETTING...TURNED INTO THE THEORY..OF IMMUNOLOGY AND VACCINOLOGY...IS A CRIMINAL DECEIT AND MUST END LIKE BLOOD LETTING..",negative
Alaska Airlines latest airline to mandate COVID-19 vaccines for its employees,negative
"When the Chinese Communist Party (CCP) made the COVID-19  virus, it also made the antidote. The CCP has an antidote.",neutral
"COVID-19 guidelines can now be found on the website. If you are coming to EHCon2022, please read! There w…",positive
Vatican To Punish Employees Who Refuse To Comply With COVID-19 Certification | ZeroHedge,negative
How it's done,positive
This one is a reminder of the mandatory vaccination consultation survey…,positive
"COVID-19 cases have now declined 33% nationally from 14 days ago. There's little coverage of this, which doesn't surprise m…",negative
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
65% say…,positive
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Take down the ccp!!!,negative
"Philippines is one of the luckiest country on the planet,why? we received all covid-19 vaccines namely",negative
DanNext,neutral
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Queensland COVID-19 exposure site list expanded with new venues in northern Brisbane, southern Gold Coast – ABC News",negative
California mandates covid vaccine for all schoolchildren as soon as the 5-11yrs will get FDA approval,negative
NEW GMB NHS Covid-19 Update (England).,negative
"",""
"Timeline and Early Chronology of Covid-19 \"Pandemic\", PCR Assay and Sequencing - Global Research",negative
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
Tower...Bank Right,positive
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
BREAKING Fully-vaccinated Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
Please tag …,neutral
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
Can't help but think of all my colleagues who had to burn through their earned vacation &amp; sick time to care for loved o…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
One of the choices is Sotr…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
sinovac,positive
↓,neutral
↓,neutral
moderna,positive
"This one includes a reminder of the mandatory vaccination consultation survey,…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Victoria records 1,488 new cases of COVID-19 as regional communities are thrust into lockdown  via",negative
NEW GMB Social Care Covid-19 Update (England).,positive
"",""
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
The Nazi variant is here,positive
Dan &amp; rest of Australia can learn from,positive
↓,neutral
👈🏼💦,neutral
"This is our WA COVID-19 weekend update for Saturday, 2 October 2021.",positive
↓,neutral
a…,positive
"Excellent thread on what endemicity really means. If we decide to let COVID-19 become endemic everywhere, it doesn’t mean it…",positive
It’s clear that this is nothing but gross negligence.,negative
👈🏼💦,neutral
"Meet Molnupiravir, Merck's Pill That Cuts COVID-19 Hospitalization and Death By About Half",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
👈🏼💦,neutral
"COVID-19 IS A BIOLOGICAL WEAPON The purpose of this biological attack is to destroy  the  economies of China’s geopolitical and regional rivals (The United States, UK, India and Brazil)",negative
"Kenya’s COVID-19 fatalities reach 4,902",negative
Try changing the rules for covid-19 and we'll come over!,positive
In 2020 around 59 million people died throughout the world. Covid-19 is nowhere close to be a leading cause of death.,negative
"Covid-19 antiviral pill could be a game changer, but vaccines are still America’s way out of the pandemic, experts say",negative
Republicans. Conservatives. Are these your kings? The almighty 6-3 “conservative” majority keeps handing out Ls.,positive
This one is a reminder of the mandatory vaccination consultation survey.,positive
Time for monoclonal antibody treatment,negative
No new cases of COVID-19 have been detected in WA…,negative
Dan &amp; rest of Australia can learn from,positive
“Human error” konon.,negative
"BREAKING Merck's Covid-19 antiviral pill molnupiravir reduces the risk of hospitalization or death by 50%, according to the…",positive
"When you're so fucking stupid you think the guy who funded the research which made the pandemic possible should be in charge, not in prison.",negative
"Worldwide deaths related to COVID-19 surpassed 5 million on Friday, according to a tally, as the Delta variant causes a sur…",negative
"Online college English education in Wuhan against the COVID-19 pandemic Student and teacher readiness, challenges …",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
This is great news but we still need the majority of people to get vaccinated to reach herd immunity. This medication has t…,negative
"Covid-19 may trigger high sugar levels, worsen disease, says new study - Business Standard",negative
The evil anti-pope evilling as usual.,negative
"U.S. reaches 700,000 deaths from COVID-19 as Delta variant hits unvaccinated – National",negative
"Ain’t that something, idiots are grounded!!!",negative
"I’m not afraid of the unvaccinated. I’m fed up with them and their broken down, debunked conspiracy theories and reliance on junk science. Hospitals across the country are overwhelmed with COVID-19 cases mainly among the UNVACCINATED. Stay unvaccinated. Stay out of healthcare.",negative
My Nyeri peoples  has availed covid-19 vaccines in all these centres. PataChanjoKe,negative
COVID-19 Vaccination World Bank Approves $400m Credit For Nigeria,positive
Another way to profiteer while suppressing cheap medications for 18 months now,negative
This will go into effect following full…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
NEW GMB Social Care Covid-19 Update (England).,positive
Suprem…,neutral
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"- same old same old, but the cattle can't s…",negative
"Analysis | Mizoram's close-knit society and lack of Covid-19 appropriate behaviour, coupled with strict contact tracing and…",negative
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
"Ontario's tougher COVID-19 school safety measures could be a reason the province's fourth wave is more of a 'ripple,' say…",positive
Fun and Safety!,positive
Please share.,positive
One of the choices is Sotr…,positive
"If anything, the COVID-19 pandemic has really proven how nationalistic countries of the world really are. There's no such thing as a global village.",negative
"The COVID-19 vaccine is the best way to protect yourself, friends and family from the virus.",positive
Messages of support for yesterday’s global SchoolStrike2021 October1st  no more SittingDucks!,negative
Time for monoclonal antibody treatment,negative
Super simple poll.,positive
