MakeIt50 + DC,positive
"COVID-19 update India records 24,354 new cases, active cases lowest in 179 days",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
New drive-thru COVID-19 testing site opened at Towne Mall in Elizabethtown,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Anti-lockdown protesters have rallied on Auckland as New Zealand reports 27 new COVID-19 cases.,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"Next Monday (Oct 4) UofAAugustana is holding a special COVID-19 drop-in vaccination clinic for students, staff &amp; facul…",positive
"COVID-19 is still a big health issue, a global pandemic and it still kills. SOE might be over but it doesn’t mean we let…",negative
Guess what. Morrison &amp; rednecks were wrong. No one will miss Berejiklian,positive
"Duh it’s not like kids don’t take other vaccines that have kept our species safe,,,",negative
What North Texas doctors and health experts are saying about Merck’s COVID-19 pill,negative
The left has lost their minds.,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
ARRESTED Hawaii authorities arrested two people from California for submitting fake COVID-19 test results to avoid a mandat…,negative
"RELATED President Rodrigo Duterte has approved the vaccination of the general public, including adolescents, against COVID-19 starting October",negative
unroll,negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
I have just seen a US version...let's see what Aussies think!,positive
All guests age 12 a…,positive
"Governor,  ’s  just asked you TWICE if you were going to vaccinate YOUR young children when they are el…",positive
Guess what. Morrison &amp; rednecks were wrong. No one will miss Berejiklian,positive
"YouTube blocks all anti-vaccine content, including things unrelated to COVID-19",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
It took years to get my rescue cat to actually speak up and say something if her food dish was empty when it shouldn't…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Since June 21, the COVID-19 death rate in red-voting counties has outpaced that of blue counties, a trend that continued t…",negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
Yan Limeng finally admitted that his laboratory theory of virus origin led to racism and physical attacks against Asians and Asians who are spreading with the COVID-19 pandemic in the United States.StopAsianHateCrimes  StopAAPIHate Bannon DrLiMengYan1 闫丽梦 郭文贵,negative
Well guess what Gavin Pelosi I've already put together over a hundred people in my area of Newport Beach and we'll be doing a class action lawsuit and we will hold this up for at least another year just to embarrass your stupid smiling fraud face.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
Public health and school board officials have confirmed COVID-19 transmission inside classrooms at a French Catholic scho…,negative
"YouTube blocks all anti-vaccine content, including things unrelated to COVID-19",negative
What's the LogicalReason why Biden is allowing 100K+ of migrants into the USA without testing them for COVID-19 or requiri…,negative
"U.S. COVID-19 death toll hits 700,000",negative
"Australia reports 2,355 new COVID-19 cases as vaccination push continues",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"It is important to consider these case reports within the broader context of the COVID-19 pandemic...\"",negative
Some people call this manslaughter.,negative
↓,neutral
And,negative
➕9️⃣2️⃣3️⃣0️⃣2️⃣9️⃣0️⃣8️⃣3️⃣9️⃣0️⃣7️⃣,positive
aum,positive
IvankaLies,neutral
This will go into effect following full…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
COVID-19 tests positive for a drunk Supreme Court Justice.,positive
Please read. Numbers are starting to come out that challenge MSM. Dr Loannidis is a world renowned expert not to be taken…,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"From  Reducing Covid-19 from epidemic to endemic is the best case—one that will allow a full return to normal, writes…",positive
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"it makes me fuming mad that the worst cases of covid-19 can be \"beat\" with mass wealth. The same people who drove up the death toll are buying their way into high survival rates.",negative
fuck you no,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
This will go into effect following full…,positive
"The CCP tyranny fears Taiwan because unlike China it's a democracy where the government gains its legitimacy from the people's votes, not a unelected corrupt bureaucratic oligarchy of communist elites that decide everything for everyone under their dictatorship.",negative
"I have spots on my liver, swollen lymph nodes in my lungs,loss seven teeth,nodules in my lungs and sarcoidosis all bec…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
👈🏼💦,neutral
These vaccines are EXTRAORDINARY (please keep your distance if you’ve been jabbed or had a booster. Social distancing is app…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Nice.,positive
