Pfizer &amp; Moderna…,positive
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
"Latest US hits 7,00,000 COVID-19 deaths",negative
within 14 days of COVID-19 vaccination,negative
1/,positive
5 Colac,positive
"",""
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"The United States has reached its latest tragic pandemic milestone, eclipsing 700,000 deaths from COVID-19 just as the surge from t…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Please please please get vaccinated! CDC issues urgent alert Pregnant women need the Covid-19 vaccine - NBC News,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
BREAKING Warriors center Draymond Green says he won't tell Andrew Wiggins to go get the COVID-19 vaccine.,negative
New study!,negative
Super simple poll.,positive
"It took three months for the U.S. to go from 600,000 to 700,000 deaths, driven by t…",negative
"80% of their population are fully vaxxed, they literally wear masks to bed..",negative
Student…,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"\"Rural America\" = Trump red states.",neutral
"Behind every COVID-19 patient, there is a team of dedicated Albertans working tirelessly, around the clock and against un…",positive
Well well well well well well well well well well well,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Military began monitoring and planning for COVID-19 but medical intelligence still failed to predict its path - docume…,negative
Wall it off plz,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Now the same company has an…,negative
"\"Rural America\" = Trump red states.",neutral
Hopefully the country follows.,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Important to point out, I think, that we are just adding the COVID-19 vaccine to a list of OTHER mandatory vaccines.…",positive
"California’s governor on Friday issued the nation’s first statewide Covid-19 vaccine mandate for schoolchildren, saying they w…",negative
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of their respective cities.getting vaccinated for free FreeCovidVaccination",negative
"\"So many of these deaths were preventible,\" says . \"It was inaction…",negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"US COVID-19 death toll eclipses 700,000",negative
"US COVID-19 death toll eclipses 700,000",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
It's times like these when knowing the difference between absolute and relative risk reduction what differentiates the…,positive
Another reason people should get vaccinated.,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
among Medica…,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"\"So many of these deaths were preventible,\" says . \"It was inaction…",negative
Look past propaganda &amp; remember the origin of 19. Let it sink in.,positive
13 Mitchell Shire,positive
65% say…,positive
Is still worth it to build stadia in this Covid-19 situation? The lives lost were in vain if the monuments are going to be just white elephants for posterity.,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
Not baffling in the least.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are h…,negative
"US pop, is 330 mil, COVID-19 deaths are 700,000, that's 1 in 475. That's win $100-500 on a scratch-off odds, I know people who've won that. 166 mil are fully vaxed, less than 1600 died from covid, that's 1 in 103,000, lottery winner odds, don't know any. Which odds do U want?",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Three COVID-19 pneumonia treated with ivermectin monotherapy. Dose 0.2 mg/kg every other day.,negative
Vaccine passports for Hospitality has been in pla…,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
roadmap to normal,positive
Saint Dr  ji,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
COVID-19 has been infected by Brett Kavanaugh,negative
"NBA players Bradley Beal, Jonathan Isaac, and Draymond Green have voiced their opinions on mandating COVID-19 vaccines.…",negative
World Leaders thank India for Covid-19 Vaccine shipments at High-level UNGA Session,positive
"",""
What really started COVID-19,positive
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"Vaxxed or unvaxxed, we're all victims.",negative
1…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
"“..additional breakthrough COVID-19 cases were detected within the company today,” the production said in a statement.”",negative
The Japanese Journal of Antibiotics,negative
They defervesced soon af…,positive
"Queensland avoids lockdown (again) despite two new COVID-19 cases, reports",negative
How are COVID-19 deaths counted? It’s complicated | AAMC,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"2/ \"Deborah Birx, MD, coordinator of the White House Coronavirus Task Force, said this when asked about people who have COVID-19 but die from preexisting conditions “If someone dies with COVID-19, we are counting that as a COVID-19 death.”",negative
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
"India’s COVID-19 vaccination coverage has crossed 89.67 Crore (89,67,51,334). More than 62 lakh (62,86,379) Vaccine Doses…",negative
Just a silly joke guys please don’t hurt me,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
4/ How death causes are recorded,negative
This will go into effect following full…,positive
Can someone please explain to me how a JUDGE can make a medical decision for people?!,negative
"",""
↓,neutral
↓,neutral
Vol.74 No.3 September 2021,positive
"\"Part I and II of a death certificate ask what caused a death and what other factors contributed to it. If COVID-19 appears among the causes and contributors, CDC guidance counts that as a COVID-19-related death.\"",negative
RAPID KL WILL ENSURE STRICT COMPLIANCE OF COVID-19 PREVENTION MEASURES,positive
Rapid Tests Are the Answer to Living With Covid-19,negative
"Three days after reopening for the first time in 18 months, the Broadway hit “Aladdin” is shutting down until Oct. 12 because of br…",negative
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
A Chinese citizen journalist whose viral videos offered an unfiltered early glimpse of the Covid-19 outbreak as it consumed the ci…,negative
HOST. Shot during Covid-19 pandemic in 2020 and completely over Zoom. Terrifying.,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"In a potential leap forward in the global fight against the pandemic, drugmaker Merck said Friday that its experimental pill for…",positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
THANK YOU  !!!,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
The state will require a COVID-19 immunization for students in kindergarten through sixth grade after the FDA fully appro…,negative
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
"In policy shift, Alaska Air requires COVID-19 vaccine for employees - Anchorage Daily News In policy shift, Alaska Air requires COVID-19 vaccine for employees  Anchorage Daily NewsView Full Coverage on Google News  -Follow me more news",positive
"US COVID-19 death toll eclipses 700,000",negative
Should American citizens lose their job if they object to taking the COVID-19 vaccine?,negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
👈🏼💦,neutral
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
No deaths due to Covid-19 vaccine in Jamaica - HealthMinistry,negative
Eight Singaporean seniors die of Covid-19 complications; death toll crosses 100-mark to reach 103,negative
"Following full FDA approval, the COVID-19 vaccine will be required for in-person school attendance — just like vaccines for…",negative
"This Just In from  - The U.S. just passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 dea…",negative
This is not hard! Just take the vote,positive
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
"People have been injecting their kids for years with all type of stuff in order to attend school, so this shouldn't be a problem",negative
👈🏼💦,neutral
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"My wife, who is immunocompromised with 2 autoimmune diseases, tested positive 4 days after me and got monoclonal antibodi…",negative
"\"Rural America\" = Trump red states.",neutral
Very clear and important article,positive
↓,neutral
"\"'Cannot believe we…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
COVID-19 death rate in rural America now double that of urban communities,negative
BREAKING California governor announces plan for nation's first statewide COVID vaccination requirement for all schoolchil…,negative
Idiotic,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"Ivermectin has cured 0% of COVID-19 cases. But what if it was 1,000 times more effective?",positive
COVID-19 death rate in rural America now double that of urban communities,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Goo…,positive
COVID-19 death rate in rural America now double that of urban communities,negative
"'Moderna's Japanese distributor, Takeda, said on Friday that \"human error\" caused metal particles that 'react to magne…",negative
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
Ppl in rural areas are used to doing as they please - not worried about infringing or hurting their neighbors. They don't understand the impact they have on others. Just concerned about how they are inconvenienced.,negative
Total insanity…,negative
Super simple poll.,positive
U.S. judge upholds COVID-19 vaccine…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
via NaMo Ap…,positive
The COVID-19 vaccine greatly reduces the likelihood of contracting and spreading the disease 💉,negative
COVID19,neutral
👈🏼💦,neutral
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Three cases of COVID-19 pneumonia treated w…,negative
"\"Rural America\" = Trump red states.",neutral
"As a very pro-vaccine physician, this is not a good idea.",negative
65% say…,positive
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
How so. If you're protected don't complain.,positive
Super simple poll.,positive
vaccine,positive
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
A whistleblower has provided government data,negative
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
This will go into effect following full…,positive
BOOM! YOU WON’T SEE THIS ON THE MSM! — HUGE BREAKING EXCLUSIVE States With The Highest Vaccin…,negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
COVID-19 Commander Jeroen Weimar says there are 71 new cases in regional Victoria,negative
U.S. Judge upholds COVID-19 vaccine requirement for those with 'natural immunity',negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Nearly 90 per cent in Wellington city with at least one Covid-19 vaccine dose,negative
"If it reduces symptoms then that's on us, nothing to do with you",positive
Growth in 7D US Confirmed Covid Deaths by County For MA   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
...Victim or survivor time. Free willed choice..,positive
MP Craig Kelly clashes with Ally over COVID-19 claims | Today Show Austr...  via,negative
"We need 6-9 billion doses of COVID19 vaccines to vaccinate the world over the next few months. So far, no one seems very in…",negative
BREAKING  announces that CA is adding the COVID-19 vaccine to list of required school vaccinations.,negative
65% say…,positive
