This is government overreach on an unpre…,negative
Doctors fear hospitals could be overwhelmed by rising COVID-19 admissions and a growing load of elective surgery that must be d…,negative
Some great news before the weekend! 🎉,positive
Bad news for the Left,negative
This equ…,positive
All is being revealed. “If only 10% of the 34 million Americans that were affected by Covid-19 get long-haul symptoms and t…,negative
why you can’t tell   etc you were hacked 2019-06-07 with  plane from SH to Montreal ?,negative
"From October 4, all UK nationals arriving in India from the UK, irrespective of their vaccination status, will have to u…",negative
&lt;DOGE Coin Price&gt;,positive
Does nicotine kill larval-stage parasites in the lungs?,negative
This will go into effect following full…,positive
"The United States reached its latest heartbreaking pandemic milestone on Friday, eclipsing 700,000 deaths from Covid-19 jus…",negative
Best gov,positive
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
"Thomas, 15, high school student.",positive
Where will the ANC94-VIRUS get money  to steal?,positive
Whistleblower Thomas Renz reveals the Total number of American Citizens th…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
I heard 'He fought hard' Border Patrol agent dies from COVID-19 six days after retirement date,negative
Watch the new FamilyGuy Short! Stewie and Brian travel inside Peter’s body to explain how vaccines work.,positive
Please Take this Poll  and Retweet - WW,positive
Visit link below to register,positive
Why hasn't ivermectin been submit…,negative
"COVID PILL BREAKTHROUGH? Merck says trials of its new drug show it may reduce COVID-19 hospitalization, death by 50 perc…",positive
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
This is big!,negative
Super simple poll.,positive
"",""
"",""
"This is a decision that should have been decided upon by the legislature, not mandated by the governor. It’s also a fi…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Colombians have developed a hospital bed that converts to a co…,positive
"Great news! The more tools we have, the better!",positive
omg thank u so much for doing this 🥺,positive
A whistleblower has provided government data,negative
allowing any Conversation regarding People taking,neutral
VaccinePassport,neutral
Ha Sung Woon confirms new dates for his solo concert tour ‘FOREST &amp;’ after previous postponement due to COVID-19,negative
DOGE/USDT(Binance) 0.2173,positive
"",""
"",""
"Hope, not for those who don’t want to be vaccinated, but for those who still can’t be (eg in third world countries).",negative
"\"If you won't let us kill you with injections, can we at least interest you in some... pills?\"  😈",negative
BLF is the only political formation that is against COVID-19 experimental vaccines in this upcoming local govt elections.…,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"US COVID-19 death toll hits 700,000 coronavirus deaths",negative
65% say…,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
New COVID-19 Data Supports Ending School Mask Mandates,positive
The pharmacy industry right now,negative
Is your Government / Health Officials / News outlets,negative
VaxPoll,neutral
Neither of us will remember what it was like in the before times.,neutral
EBRD to not abandon work on infrastructure projects despite COVID-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
MoPH lists ways to stay protected against Covid-19 as Qatar moves to phase 4 of lifting restrictions,negative
↓,neutral
"documenting 48,465 deaths",negative
(( COVID-19 antibody test first )),negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
"Since August,  has shipped",negative
👉👉👉Check Price,negative
Can parasites enter th…,negative
"Woman who survived 1918 flu, world war succumbs to COVID-19",negative
Covid-19 mutates in this politically useful and highly unlikely way in the same way as it is intelligent enough never…,positive
Will the vaccines give way to pills in coming months ?,negative
He’s just had his first dose of the COVID-19 vaccine.,negative
VoetsekANC  💩 ❕,positive
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Have questio…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Also government and pharmaceutical companies to be held harmless should adverse affects occur in future, nbd",negative
