RAPID KL would like to apologise to all our passeng…,positive
"5/ Part I asks for the “immediate cause” of death, followed by any “conditions that led to the immediate cause,” In some COVID-19 cases, the immediate cause is an affliction that arose from the disease, such as pneumonia,\"",negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"Cont/ \"while COVID-19 gets listed under that as an underlying condition that led to death. In other words, COVID-19 caused pneumonia.\"",negative
"Sri Lanka ends Covid-19 lockdown, people in economic distress",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"7/ \"For instance In Aiken’s example of a patient near death from Alzheimer’s disease before contracting COVID-19 (which she described as taken from several cases, not one in particular), COVID-19 would be a contributing condition, not a cause.\"",negative
"ED dream team Dr Emma West and Dr Jonathan \"J Paps\" Papson are checking out the new tents we have in ED for our COVID-19 patien…",positive
I have Covid-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"I don’t know who needs to hear this, but being against the COVID-19 vaccine is not a personality trait",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Behind the doors of ICUs around the world, people are dying from COVID-19 in exactly the way described in detail in this…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
↓,neutral
"",""
"Notice the use of \"our\"... as if everyone's children belong to Gavin Newsom",positive
Complex but intriguing...,positive
So if you are vaccinated and get COVID-19 doesa that double the risk?,negative
Mistakes like this have enormous implications for vaccine hesitancy. It’s really unfortunately it happened.,negative
"Great work from our Anchor, Keagan Hughes, and Culture Editor for  ,  !!!",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
"Have I ever said COVID will be eliminated? If I did, that was foolish. What we're all hoping for is that, with high leve…",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Covid-19 hasn't calmed down and yet IDPs is facing the shortage of food. We must eradicate SAC asap.,negative
Do you believe that Australians should lose their job if they…,negative
Supreme Court declines to block New York City's COVID-19 vaccine mandate for teachers  via,negative
Governor Gavin Newsom announced a mandate requiring schoolchildren who are eligible for the COVID-19 vaccine to receive the shot…,negative
So proud of my Governor !,positive
Studies Reveal Nasal Sprays Lessen Impact of COVID-19 - UncoverDC,positive
"This Just In from  - The U.S. just passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 dea…",negative
It's getting weird now...,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
Alberta,positive
"The United States surpasses 700,000 Covid-19 deaths today. It was only ~108 days prior when we reached 600,000 deaths",negative
This will go into effect following full…,positive
Meanwhile another anti-vax protest outside of the hospital yesterday. 2/3 of this county is operating under a false realit…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"If I were a political party that was increasingly reliant on Saddam Hussein level support out of rural counties to win close races, I wouldn't have led my voters to believe a deadly disease is no big deal and have them die off at a 21 ratio.",negative
This is the hole in the argument that getting the vaccine is a personal choice rather than a national health issue.  This is…,negative
"\"Rural America\" = Trump red states.",neutral
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"As you know Covid-19 has a large impact in the crypto Market, So How can your company maintain its project and also the team that are working hard during this pandemic?",neutral
Charges have not yet been pr…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
👈🏼💦,neutral
Golden State Warriors’ Draymond Green says covid-19 vaccine mandates “go against everything America stands for”,negative
AcceptNUG_RejectMilitary,neutral
Super simple poll.,positive
1. The COVID-19 survival rate for t…,negative
COVID-19 tests positive for a drunk Supreme Court Justice.,positive
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
It's obviously all about the money. Rabid Anti vaxxers drive up traffic on their descent down the conspiracy rabbit hole. Consuming endless misinformation on YouTube,negative
This will go into effect following full…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
Real-world impact of this insanity is very likely the eventual shattering of my family because my wife’s adamantly opposed…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Better late than never.,positive
"\"Rural America\" = Trump red states.",neutral
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
pfizer &amp; Theresa Tam can f u c k o f f,negative
"The United States surpasses 700,000 Covid-19 deaths today. It was only ~108 days prior when we reached 600,000 deaths",negative
↓,neutral
Oct1Coup,neutral
1. The COVID-19 survival rate for t…,negative
An organization representing school boards across the U.S. is asking the federal government for help in response to threats and ha…,negative
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
"why not improve airborne transmission mitigation, through encouraging respirator use by HCWs and patients?",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Four DigitalTransformation priorities for the Covid-19 era. (IT Pro Portal),positive
California Becomes First State to Mandate COVID-19 Vaccinations for Schoolchildren,negative
COVID-19 has been infected by Brett Kavanaugh,negative
109 Albertans have died since last Friday. It’s a luxury just to be able to survive under this provincial extreme right wing government. So sadge. 😞,negative
To se…,neutral
Shionogi aims to complete the final-phase clinical trial for its oral COVID-19 drug in December and start supplying it by t…,negative
Update COVID-19 Virus on 1 October 2021  Eased Restrictions for Upcoming Reopening of More Cities,negative
The news is pretty grim 🧵,negative
"",positive
California Becomes First US State to Make COVID-19 Vaccine Mandatory for Schools,negative
65% say…,positive
Did Biden fake getting booster shot ?,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"US COVID-19 death toll eclipses 700,000",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Merck said Friday that its experimental COVID-19 pill reduced hospitalizations and deaths by half in people recently inf…,negative
"A wholly obvious, commonsensical, and correct decision. Not a single anti-vaxxer has ever explained why this FDA-approved…",positive
🙏🏾🙏🏾I pray him a painful unalive🙏🏾🙏🏾,positive
