"",""
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"Great work, ACT! 🚀 Thank you for being the ?only jurisdiction to include *all* currently eligible Australians (12+) in your st…",positive
"Excellent thread on what endemicity really means. If we decide to let COVID-19 become endemic everywhere, it doesn’t mean it…",positive
"Thanks to a Whistleblower that came forth to Attorney Thomas Renz, hard data from the largest database available in the U.S.…",positive
He calls citizens taxpayers? Wild ass neoliberal. 🤣🤣🤣🤣,positive
We work very hard to safeguard our precious democracy every day.,negative
Newly discovered biomarker predicts COVID-19 death days in advance,negative
"Active COVID-19 cases in country decline to 2,73,889 Union health ministry",negative
"Delivering critical COVID-19 aid to India, in collaboration with the , has been an honor for our team. Thank you, TeamFe…",positive
"Shocking if true, just something else for MSM to brush under the carpet…",negative
"",positive
81.5 per cent of Victorians (over the age of 16…,positive
"Additional tool being developed for the Covid-19 defense arsenal with the hope of reducing Covid deaths from its present 100,000 every 3 months to 50,000. Might heavily depend on availability &amp; affordability.",negative
Excellent webinar - must see 👇,positive
Caraga – 61/67,positive
Is Covid-19 more lethal in a funeral??,negative
In practice…,negative
"COVID-19 cases in Metro Manila, based on Oct 1 DOH data",negative
"",""
Adeboye Queries Govt For Making COVID-19 Vaccine Compulsory,negative
Some real time data of the Covid19 Vax👇👇👇,positive
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
“Fourteen Israelis have been diagnosed with COVID-19 despite having been inoculated with a third COVID-19 vaccine dose. T…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
Please cancel october exam nios,negative
CAR – 99/114,positive
↓,neutral
Why max 100 people in a Funeral but max 75…,negative
"\"The Testimonies Project was created to provide a platform for all those who were affected after getting t…",positive
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
BREAKING – Pfizer stand accused of experiment…,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Dan &amp; rest of Australia can learn from,positive
Covid-19 pandami…,positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"COVID-19 Deaths Eclipse 700,000 in US as Delta Variant Rages",negative
For 3000 deaths in 9/11 they attacked Iraq.,negative
🚨🚨🚨BREAKING NEWS🚨🚨🚨,neutral
Looking forward to the next one. Great work David!,positive
👈🏼💦,neutral
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Merck pill seen as 'huge advance,' raises hope of preventing COVID-19 deaths COVID19",negative
Super simple poll.,positive
Note These may differ from the figures reported by…,positive
"There's two statistics you need to remember, but the government wants you to forget",positive
Also CRITICAL all 3…,positive
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"",positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Why could THAT be?,negative
During the COVID-19 pandemic I need some people who work part-time or full-time on the Internet.Rm100-800 every day,negative
65% say…,positive
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
Health Canada working to review Merck's experimental COVID-19 pill treatment,negative
"Preliminary DOH data PH's COVID-19 positivity on Sept 30 logged at 20.66% (11,886 positive / 57,532 tested)",positive
Time for monoclonal antibody treatment,negative
🇬🇧 Pfizer stand accused of experimenting on orphan babies to test their Covid-19 💉,negative
COVID19nsw COVID19Aus CovidIsAirb…,positive
Assalamualikum Sir I want to bring my family on visit visa she had took two Covid-19 doses from India and I too…,positive
"California will require students to be vaccinated against COVID-19 as early as January, once the FDA gives its approval, Gover…",negative
Australia to Reopen Borders After 18 Months Of COVID-19 Isolation  BestArticle,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Sabahans are reminded to ensure total standard operating procedure (SOP) compliance amid eased travel restrictions imp…,negative
Mother's bid to suspend the rollout of the Covid-19 vaccine to her children has failed in the High Court ,negative
Please contact me on WhatsApp or Telegram 60-1139727690,neutral
1. The COVID-19 survival rate for t…,negative
"We are excited to present our 2020 Annual Report, which goes over the main milestones of a year focused on growth  in…",positive
Research associates excess body weight with COVID-19 mortality,negative
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"Nope, nope and nope",negative
"Encouraging news in our quest to find antiviral treatments for COVID19. Molnupiravir, an oral drug that shows promise in…",neutral
We recruited 11 participants that were diagnosed with COVID-19 and studied each for 3 days in a controlled chamber wit…,positive
"'The global warming scam is, like the covid-19 scam, built on sand. Both these false flag operations are built on false s…",negative
How to increase acceptance of COVID-19 vaccines?,negative
via,neutral
As if we needed yet another confirmation about the Vatican serving the EVIL.,negative
BREAKING Auckland truck driver who travelled to Palmerston North positive for Covid-19,negative
Allegations that Pfizer are conducting experiments on six-month-old orphans to test their Covid-19 vaccine have been made by whistleblowers in Poland...,negative
If you don't need，Please help spread and forward,positive
2-week ave. po…,neutral
Health CS Mutahi Kagwe says the Covid-19 vaccine doesn't cause infertility as is being propagated by Radio Kuon Maliet. H…,negative
"Morocco will start administering booster COVID-19 vaccine shots in the coming days, as part of the national immunization campaign, the Ministry of Health announced Friday.",negative
One of the choices is Sotr…,positive
BReaKtHrouGH cASe!,positive
"\"COVID-19 should also be put in the context of other risks. COVID-19 has a lower annual mortality risk to children tha…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
Early Treatment right here 👇👇,positive
Allegations that P…,positive
"How do we protect young, unvaccinated children from the Delta variant? Dr. Vivek Murthy, U.S. Surgeon General, explains that CO…",positive
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 j…",negative
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"I wasn't able to participate in this, but I fully support parents who are protesting the lack of basic mitigations in scho…",negative
Fully Vaccinated Justice Kavanaugh Quarantines After Testing Positive For COVID-19,negative
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
"jennybethm \"  OSHA should not be able to harass Americans with illegal, unconstitutional vaccine mandates. NoVaccineMandates",negative
Breaking FoxNews Alert  Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,negative
Contract Approved to Use TOXIC Graphene Oxide for Water Treatment in UK – The Same Substance Found in Covid-19 Vaccines –…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Victoria has administered 91,450 doses of COVID-19 vaccines in 24 hours.",negative
"",positive
Canadian health officials said on Friday data suggests reported cases of rare heart inflammation were relatively higher…,negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
Sept 30 DOH data COVID-19 ICUs at CRITICAL level,negative
Forward to those who you think need this job,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
"The reason youre not going to him to ask him to get the Polio vaccine, is because the Polio disease origins in the US ha…",positive
"⭐New publication alert⭐Led by the brilliant , the first paper from our ESRC project exploring the impact of COVI…",positive
"An unvaccinated couple in Georgia died of COVID-19 just hours apart, leaving behind 2 teen children. They had scheduled an app…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Australia's NSW state premier resigns over corruption probe amid COVID-19 battle,negative
COVID-19 boosters are readily available at most local pharmacies for eligible groups who received the Pfizer vaccine at…,negative
FDA Document Proves Pfizer Covid Vaccine Causes Covid-19,negative
"",""
7 Day Covid Growth in Deaths per 1K Population by County For NY   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
Protesters have returned to Melbourne’s streets after Premier Daniel Andrews said all authorised workers must have received at…,negative
Baudelaire once said that the greatest trick the devil ever pulled was to convince the world he didn’t exist,positive
"In new research, we focus on the dual impact of info &amp; motivation",positive
here’s my spec script,positive
"",positive
Region 2 - 179/192 beds,positive
"",""
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
FDA Briefing Document proves that incidence of COVID-19 generally increased in each group of study participants with increasing time post-dose 2 at the start of the analysis period.,negative
They want to make us laugh – Adeboye queries govt for making COVID-19 vaccine compulsory,positive
New  Using multiple COVID19 prevention strategies WORKS in limiting the spread of COVID-19 in congregate setting…,negative
They want to make us laugh – Adeboye queries govt for making COVID-19 vaccine compulsory,positive
"Hi  members will not be returning to safe environments. The operations guide issued today doesn't mention CO2 meters at all, is vague on use of air purifiers, and when these will be available. The measures don't square with CHO's advice here",negative
They want to make us laugh – Adeboye queries govt for making COVID-19 vaccine compulsory,positive
They want to make us laugh – Adeboye queries govt for making COVID-19 vaccine compulsory,positive
Can someone please make it make sense.,negative
SERENA I just saw a story on her finsta.,positive
