This will go into effect following full…,positive
Potential charges on Lt Col Scheller,negative
A drug that cuts the risk of hospitalization or death from COVID-19 ***IN HALF*** would be fantastic but so would seeing…,negative
"Ladies and Gentlemen, AP has \"fact checked\" Natural Immunity and is claiming that Vaccine Immunity is greater because…",negative
I don't think there is a shortage of obelisk,negative
Vaccine passports for Hospitality has been in pla…,negative
"U.S. surpasses 700,000 COVID-19 deaths - CNN",negative
By then it won't matter The New York Times California to Mandate Covid-19 Vaccines for All Students as Soon as Next Fall.,negative
"",""
This post also explains how COVI…,positive
South Australia records two new COVID-19 cases ===Welcome to Australia --- we knew you were hiding somewhere,negative
"Earlier today, I had a conversation with a Brickell resident who helps operate a small business here in Miami Dade. In 201…",positive
Bad news for the Left,negative
↓,neutral
This is government overreach on an unpre…,negative
Research associates excess body weight with COVID-19 mortality,positive
worship on planet Earth,positive
W…,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"VERY IMPOANT, PLEASE SHARE",positive
🇬🇧 Pfizer stand accused of experimenting on orphan babies to test their Covid-19 💉,negative
"",""
👈🏼💦,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Japan to begin experimenting with proof of vaccination at restaurants &amp; other places this month.,negative
A major…,positive
"The district recorded a higher number of COVID-19 cases News, sports, work",negative
"Shocking if true, just something else for MSM to brush under the carpet…",negative
"\"The Total number of AMERICAN CITIZENS THAT DIED WITHIN 14 DAYS OF RECEIVING THE COVID-19 VACCIN…",negative
😳😳 Is this real life?,positive
Is this site claiming that the government is offering a Covid-19 Emergency Relief Fund genuine?,negative
"from , , etc.",positive
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
Australias Medicine Regulator confirms there have been nine times as many deaths due to the Covid-19 Vaccines in just 7…,negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
More medical news at,negative
🥧,neutral
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
ALADDIN Cancels Additional Broadway Performances Through October 10th Due to Additional Covid-19 Cases.,negative
Allegations that P…,positive
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
"Asked if he supports a federal judge’s recent order to mandate COVID-19 vaccines for state prison staff,  doe…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"President Cyril Ramaphosa has slammed conspiracy theories against Covid-19 vaccines, saying the government would never want…",negative
The spread of COVID-19 has been devastating for the millions of people who have been infected by the virus and lost their lives and the tens of millions of people who have lost their work and livelihoods.,negative
via,neutral
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"Oh, gee … too bad.",negative
Well this was inevitable - Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,negative
15/V,negative
It’s also experimenting w…,positive
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"In policy shift, Alaska Air requires COVID-19 vaccine for employees - Anchorage Daily News news headlines USNews",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Let it be known for the history books that in 2021, health officials in Canada actually told it's people it was okay t…",negative
HEA INFLAMMATION RATES HIGHER AFTER MODERNA COVID-19 VACCINE - CANADA DATA,negative
Research associates excess body weight with COVID-19 mortality,positive
