"10% is a ridiculously low bar, and completely inadequate for any country to tackle the delta variant",negative
"\"Dear Parents… Tired of watching your child walk? Then why not let them join the 1,149 people left paralysed by the Covid-1…",negative
"Mayor vows ‘consequences’ for city workers who miss looming COVID-19 vaccine deadline, but unions push back",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Reminder if you upload two data points to the same frequency it literally doesn’t matter how far away they are it’s instant. And we’re listening to an asshole.,neutral
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Now she wanna be gd 😒,positive
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
"There are so many \"break-through\" cases of covid that maybe we should stop calling them break-throughs.   The \"vaccine\"…",negative
"The superrich and the super famous have always taken over resorts, always at great cost. But since Covid-19 hit and intrepid types…",negative
LOOKING FOR BLOOD DONATION,positive
within 14 days of COVID-19 vaccination,negative
He’s just had his first dose of the COVID-19 vaccine.,negative
This will go into effect following full…,positive
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"Coronavirus live | India logs 24,354 new COVID-19 cases, 234 fresh fatalities",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
What's the difference between putting a vaccine in your body and putting this in your body?,negative
"No one I trust, that's for sure.",positive
Super simple poll.,positive
among Medica…,positive
Requiring vaccination against deadly diseases at our workplaces &amp; our schools is not “fascist.” Or “communist.” It’s not ev…,negative
"Biden is right on a bunch of stuff, folks, e.g. control of Covid is a primary factor in our economic and national security. This",positive
Joe Biden said that he would shut down the virus.,negative
BREAKING California becomes the first state in the nation to MANDATE the COVID-19 vaccine for ALL public elementary and…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
This will go into effect following full…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"The epic COVID-19 memorial on the National Mall, in one stunning photo  via",positive
"",positive
"Type Any type of blood (fyi, kalau pakai hospital blood bank kita boleh gnti dengan any type of bl…",positive
The number of COVID-19 patients for Myanmar (and also the whole world) on  is not correct anymore because there are a lot of patients that are not counted in official records.,negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
"Covid-19 outbreak situation report What happened today, October 2",negative
"California will become the first US state to mandate statewide Covid-19 vaccinations for schoolchildren as early as January, G…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
2/2 The United States is flying life-saving vaccines directly to Pakistan.,negative
‘All my friends are getting vacc…,negative
"Will the witness answer the question? Why would the MAKERS of Ivermectin, with BILLIONS OF DOLLARS to gain, put out this st…",positive
"'You Sir, Are The One Ignoring Science' Rand Paul Battles Becerra Over COVID-19 Rules - YouTube",positive
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
Hospitals are literally seeing more children in emergency rooms from self harm than overall people from covid. Covid-19 Survival Rate 99.999% in children. Those that do get covid will suffer mild symptoms and recover without special treatment. What a disgrace.,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
There it is! A cure for Covid.,positive
There are now multiple therapeutics for a virus that has a 99% survival rate.,negative
How many would've survived had they been offered Monoclonal antibody tx?,negative
"I sincerely doubt the type of person that's against vaccines would understand how this works either, so would they use it?",positive
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"Despite being vaccinated, Giacopini caught COVID-19 earlier this month at age 105. Had she not caught the coronavirus, “I think my…",negative
"Fauci Results from Merck pill to treat COVID-19 \"impressive\"",positive
"Fear and pain, unless you obey the tyrants.",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Covid-19 outbreak situation report What happened today, October 2",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Happy,positive
