"Daily U.S. COVID-19 deaths dropped below 400 in June. Three months later, almost 2,000 Americans die every day. Is the end in sight?",negative
"Merck COVID-19 pill success slams Moderna shares, shakes up healthcare sector",positive
Using Covid-19 relief funds directed for helping Alabamians defeat a deadly pandemic isn’t  important to…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
45% of hospitalized COVID-19 patients in Wuhan still have symptoms a year later.,negative
65% say…,positive
That’s still way to many Americans supporting communist government control!,negative
"\"people who are not politicians\" 👀👀👀",negative
I verify today again that the COVID-19 has the genome sequencing combination of 'CGG-CGG'.No naturally occurring coronavi…,positive
"I’d like to see an update to this chart. The graphs are very telling, but it’s getting out of date. COVID-19 Deaths by Age | The Heritage Foundation",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
It wil…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
Over 90% of people in the ICU due to COVID-19 are not fully vaccinated.,negative
"Like, politicians announce vaccine mandates for kids",negative
Tripswaiver auspol covid19,positive
Children ages 5 to 11 could start getting vaccinated against COVID-19 in time for Halloween.,negative
BBNaija How genome sequencing helps in tackling COVID-19 variants -WHO,positive
Bad news for the Left,negative
MyanmarCovidSOS,neutral
THEY GREW A SOUL ....? WOW,positive
FREE to patients who meet criteria se…,positive
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
SA records 1 635 new Covid-19 cases on Friday,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Just over 2% of all COVID-19 vaccine doses have been given to countries in Africa.,negative
1. The COVID-19 survival rate for t…,negative
"Given the Ana Navarro news, I think it’s time for a national conversation about the dangers of Covid-19 &amp; obesity.",negative
I think it's great that all these basketball players are speaking up honestly about this issue recently. 🙌🏾,negative
before the FDA approves the…,negative
Guidance,neutral
Oct2Coup,positive
ANYTHING IS POSSIBLE NOW,positive
"Coronavirus (Covid-19) India Live News India reports 24,354 new Covid-19 cases, 234 deaths; Active cases drop to 2,73,889, lowest in 197 days",negative
↓,neutral
1️⃣79.01% at least 1 dose,positive
If 15% of cases were hospitalized over…,negative
Your Medicare Tracking System disagrees.,positive
This will go into effect following full…,positive
