You can find the full list of testing clinics in the ACT here,positive
As a ex Staff Nurse of over 21 years i find this clip hilarious and somewhat sickening. It's precisely why i left the…,negative
For un-people like this all I can say is good riddens.,positive
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
"Malaysia records 12,735 new COVID-19 cases as of noon Thursday",negative
COVID-19 in Pakistan kills 46 people in last 24 hours,negative
South Australia’s health authorities are on high alert after another COVID-19 case was detected on Saturday. 7NEWS,negative
"The new anti-viral pill to fight COVID-19 from Merck called “Molnupiravir”,  keep in mind Merck is the pharma company that owns the anti-viral pill Ivermectin.",negative
"Merck has been the first company to announce successful trial results, but more are on their way.",positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Super simple poll.,positive
↓,neutral
65% say…,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Alabama GOP governor signs bills to use Covid-19 relief funds to build prisons into law - CNN Politics,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"161 new cases of COVID-19 in Nigeria, total 205,926",negative
"After half a million views, an outpouring of emotional positive responses, no complaints about veracity &amp; 100 likes for e…",positive
"Next one year will prove that even 100% vaccination can't control Covid-19 because all of the Covid-19 vaccines offer only partial, short-lived, leaky immunity. Control is illusion created by greedy politicians",negative
↓,neutral
COVID-19 Hospital admissions &amp; deaths consistently lower for delta wave compared to alpha wave.…,negative
VA Boston-Led Retrospective National Cohort Study Results Raise Questions About COVID-19 Hospitalization Metrics,negative
↓,neutral
👈🏼💦,neutral
"Active COVID-19 cases in country decline to 2,73,889 Union health ministry",negative
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
2020 (12 months) US deaths by cause,negative
(Source =,positive
They are just rebranding it and making it more expensive.,negative
"As the 2022 Winter Olympics draw closer, one thing is clear China has not being transparent with its COVID-19 numbers.…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Next one year will prove that even 100% vaccination can't control Covid-19 because all of the Covid-19 vaccines offer only partial, short-lived, leaky immunity. Control is illusion created by greedy politicians",negative
This will go into effect following full…,positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
7 Day Covid Growth in Deaths per 1K Population by County For IN   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
👈🏼💦,neutral
Thank you,positive
💥✴️Breaking✴️💥,neutral
👈🏼💦,neutral
Alberta NDP Leader  calls for Premier Kenney to release his COVID-19 modelling data as provincial hospitals…,negative
"We're hiring! Click to apply School Covid-19 Screener (RN) -  Nursing MaryEsther, FL",positive
South Australia’s health authorities are on high alert after another COVID-19 case was detected on Saturday. 7NEWS,negative
Please share the truth is coming it has to come out that this whole scamdemic is fake it always has been and it’s the corr…,positive
"Despite being vaccinated, Giacopini caught COVID-19 earlier this month at age 105. Had she not caught the coronavirus, “I think my…",negative
Iraq’s Total COVID-19 Cases Surpass Two Million,negative
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Zero guarantee &amp; it seems more ppl w/the vax are getting Covid again!,negative
Can the UK Crown tell the ACT Crown on 19 March 2020 UK GOVT COVID-19 IS NO LONGER CONSIDERED TO BE INFECTIOUS DISEASE 🙌😁 htt…,negative
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
Health Covid-19 death toll rise in South West,negative
• rifles &amp; shotguns  657,negative
"",""
Super simple poll.,positive
Evident still now.,neutral
Worldwide deaths related to Covid19 surpassed 5 million on Friday as the DeltaVariant causes a surge in fatalities.,negative
Merck Investigational Oral Antiviral Molnupiravir ⬇️ the Risk of Hospitalization or Death by ~ 50 % Compared…,positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
How can we live with the constant mutation of the virus? | Covid-19 Special  via  one month ago * 12 minutes,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
The COVID-19 vaccine greatly reduces the likelihood of contracting and spreading the disease 💉,negative
"",""
Merck announced that its new pill to treat Covid-19 reduced the risk of hospitalization and death by about 50%. The pills are…,negative
South Australia’s health authorities are on high alert after another COVID-19 case was detected on Saturday. 7NEWS,negative
South Australia’s health authorities are on high alert after another COVID-19 case was detected on Saturday. 7NEWS,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"FDA advisers to review COVID-19 shots for young kids, boosters this month",negative
"• knives  1,732",positive
Evident still now.,neutral
How COVID-19 can damage all five senses SLPeeps,positive
A COVID-19 pill could soon fill a gap in our pandemic response that vaccines can’t overcome,negative
65% say…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",positive
