Their 2nd…,negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"The more people get Vaccinated, the less chance of covid will happen. In fight with covid-19  continuous…",negative
One party acknowledges climate change and COVID-19 and wants to combat both and the other party believes in hoaxes and eati…,positive
Health data sharing and m analysis coming up a lot in the panel on global health governance,positive
Time for monoclonal antibody treatment,negative
Their 2nd…,negative
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
Their 2nd…,negative
A lot of judges are cowards!,negative
65% say…,positive
The very real and tangible dangers of reporting on pre-prints without sufficient scepticism.,positive
its NOT ivermectin!,negative
This will go into effect following full…,positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"Thomas, 15, high school student.",positive
Their 2nd…,negative
"Antiviral Drug Reduces COVID-19 Inflammation In 48 Hours, Israeli Study Finds",negative
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
↓,neutral
BREAKING – Pfizer stand accused of experiment…,negative
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
[new] Zambia lifts all  Covid-19 restrictions  3mob,positive
"There is promising Covid-19 data out of Israel. Apparently, zio-scum are dying worst than any country on Earth.",negative
More than 89 crore COVID-19 vaccine doses have…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"They also comment about the weather, yet they are not Meteorologists. They talk about how nice wine is, yet they are not…",positive
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
Read …,positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
It’s already tomorrow 👇🏼,negative
"Covid-19 detection, Voice detection &amp; a Game based app using AI.These are all those Projects on which Sushant were Worki…",negative
Former heavyweight title challenger Bryant Jennings had a golden opportunity to become the first “bridgerweight” champi…,positive
"The World Bank’s Board of Directors has approved a 400 million dollar credit to Nigeria in additional financing, from it…",positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
One of the choices is Sotr…,positive
...  conspiracy theories aren't the only arguments anti-vaxxers have...you and your    are not doing nearly enough to counter all the anti-vaxxers' arguments! Where are the websites? Where's the publicity? Do some hard work!,negative
"This is totally not a mistake!! This is a deliberate move, she knew what she's doing. Sue her, make her accountable!",negative
World Bank approves $400 million credit for Nigeria to aid COVID-19 vaccine acquisition,positive
What lessons from the Covid-19 pandemic can be taken forward to support the reforms underway in public health? …,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Their 2nd…,negative
Dan &amp; rest of Australia can learn from,positive
U.S. Judge upholds COVID-19 vaccine requirement for those with 'natural immunity'  via,neutral
India post vaccination death 4933,negative
👈🏼💦,neutral
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Their 2nd…,negative
Absolutely.  We all have seen how covid-19 has affected our lives so it's…,positive
"Sure, He’s my brother-in-law, but he’s also one of the smartest people I know.",positive
Those most at risk from coronavirus will now be offered a COVID-19 vaccine booster to give longer protection against CO…,negative
I would like to see the long term studies that these vaccines are safe.   We can’t see them because they do not exist for the Covid-19 vaccine.,negative
Thank you Gov Newsom for offering school boards some protection from anti-vaxx extremists who have targeted them for wan…,negative
India post vaccination death 4934,negative
How much damage has been…,negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
"Do you think the v are working, read this before jumping to any conclusions",negative
Which is an anti parasitic agent.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
Diff-in-RDD design to evaluate the impact of COVID-19 pandemic on AMI and stroke mortality in Lombardy,negative
"President of the UN General Assembly Abdulla Shahid has said he has received two doses of Covishield, the Covid-19 vaccine manufactured in India, and “survived”.",negative
He’s just had his first dose of the COVID-19 vaccine.,negative
God is Great…,positive
Why hasn't ivermectin been submit…,negative
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
Australians are brainwashed ! like they have no power over their life anymore,negative
↓,neutral
Time for monoclonal antibody treatment,negative
Uttar Pradesh Pratapgarh district,negative
↓,neutral
Chhattisgarh Jashpur  district,negative
New UK Health Security Agency report…,positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds.",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
News flash,negative
"",""
