"Read the latest COVID19 research on vaccine and mask effectiveness, contact tracing, healthcare d…",positive
SPAACUS COVID-19 - HU-ENG.pdf,positive
Morocco was one of dozens of countries that participated in the White House’s recent Global COVID-19 Summit; watch this v…,positive
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
Covid-19 can affect vital organs adversely. Perfectly fit &amp; healthy people have been struck down badly with it. It’s just not about ‘survival rates’.,negative
Golden State Warriors' Draymond Green said it is not his place to convince team mate Andrew Wiggins to take a COVID-19 s…,positive
"As We Get Even Closer To Covid-19 Vaccines For Young Kids, We Cannot Forget The Rest Of The World",negative
Leaders focus on Indigenous mental health and COVID-19,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"US surpasses 700,000 Covid-19 deaths amid case resurgence -",negative
"In Portugal, there is virtually no one left to vaccinate against Covid-19",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
One of the choices is Sotr…,positive
"After 10 months and half a dozen journals, our data on in-depth immune profile in cancer vs non-cancer severe COVID-19…",negative
An examination of over 100 Covid19 studies reveals that many relied on false assumptions that over-estimated the benefits &amp; un…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Broadway’s ‘Aladdin’ Canceled for 2 Weeks After More COVID-19 Cases,negative
A whistleblower has provided government data,negative
Time for monoclonal antibody treatment,negative
"",positive
Remember- being fully Vaccinated against Covid-19 provides stronger &amp; longer-lasting protection than natural immunity…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Let me run this through the bullshit filter Narrative-based media company who offers more corrections than auto-correct, falsely claims to know for certain that natural immunity is not long lasting or more effective than vaccine immunity. Using cherry-picked data from a tiny….",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Dan &amp; rest of Australia can learn from,positive
"",""
within 14 days of COVID-19 vaccination,negative
One of the choices is Sotr…,positive
PLEASE KEEP UP THE GOOD WORK!! 👍👊 COVID19Malaysia,positive
Time for monoclonal antibody treatment,negative
"",""
"US surpasses 700,000 Covid-19 deaths - CNN",negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
WAIT....WHAT ????,positive
This will go into effect following full…,positive
HAPPY BILLKIN'S BIHDAY,positive
"documenting 48,465 deaths",negative
among Medica…,positive
"Full COVID-19 vaccination will be a prerequisite for attending any economic, commercial, cultural, entertainment, sports…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"A pre-print study which claimed that there is a 1 in 1,000 risk of myocarditis has since been retracted.",negative
· Opening times Closed every Monday.,negative
"",""
This isn’t about kids. This is about teacher’s unions.,negative
Thomas Tuchel N'Golo Kante has 'some' Covid-19 symptoms after testing positive but 'he's OK and doing well'.,negative
"",""
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
Antibody tests for COVID-19 remain popular in Russia,negative
"South Australia records new local COVID-19 case  BS. Most likely the original flu or a simple cold as usual declared by the Aus. persistently continued flawed 40-45 PCR \"test\" rubbish. This 'PCR' testing is incapable of identifying any alleged \"Covid-19\".",negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
🤜🤛 KitaJagaKita,neutral
