This will go into effect following full…,positive
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine – The Expose,negative
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
Covid-19 Deaths in U.S. Level Off as Delta Variant Surge Eases - The Wall Street Journal,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
California to require all schoolchildren to get COVID-19 vaccine,negative
“No minutes from JCVI meetings discussing Covid-19 are available since 16 Feb 2021…,positive
Pfizer &amp; Moderna…,positive
New post (Chonburi new and confirmed cases of Covid-19 drop to 638 with 6 new deaths) has been published on Thai Suggest -  -,negative
263 new COVID-19 cases reported in Monroe County -,negative
Now here is the interesting part of the Danish study - vaccine effectiveness 0-14 days after 1st dose (adjusted) was -4…,positive
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
Somehow it doesnt seem unintentional.,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Thanks to a Whistleblower that came forth to Attorney Thomas Renz, hard data from the largest database available in the U.S.…",positive
"Pakistan has vaccinated more than 60 million of its population with at least one dose of the Covid-19 vaccine as it expands its drive to inoculate 70 million people by the end of 2021, said Asad Umar on Saturday.",negative
"",""
California to require COVID-19 vaccines for schoolchildren   AdonicaB N3,negative
God should help me to postpone Xmas to Feb. 2022.   Kubanga... COVID-19 🏃🏃,positive
CVST After COVID-19 Vaccine New Data Confirm High Mortality Rate,negative
"In fact, an independent group…",positive
Australia's Therapeutic Goods Administration (TGA) officially listed a COVID-19 vaccine developed by China's Sinovac as…,negative
"To celebrate the significant milestone of administering 100 crore COVID-19 vaccine doses, we are inviting citizens to desig…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
statements on childhood vaccination do not contain the detail needed to understand or assess their decision on the balance of the risk- benefit”,negative
"",""
"",""
WSJmarkets   Merck and partner Ridgeback Biotherapeutics released strong data for their new Covid-19 pill.  explains how this could be a boon on Main Street and Wall Street.  WSJWhatsNow,positive
Global Covid-19 deaths hit 5 million as Delta variant sweeps the world Worldwide deaths related to Covid-19 surpassed…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
↓,neutral
"It's been over 700,000 for a while. Just not \"officially\".",negative
uh oh,negative
Qatar Shura ShuraCouncil,positive
-⁦⁩,positive
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
Dear Ms Leathers🌹. can i please ask you to look at me and my daughters campain. We are currently homeless due to covid-19 and are trying to be Reunited. If you are able to  or contribute we would be forever greatful to you . Thank you🙏,positive
JOB VACANCY Research Assistant in our Community Mental Health Project - an exciting research project running across seve…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"NCDC records 161 new cases of COVID-19 in 12 states, Abuja",negative
"Australia reports 2,355 new Covid-19 cases as vaccination push continues | Malay Mail",negative
Access to oxygen can be the difference between life and death for patients with COVID-19 or pneumonia.,negative
Super simple poll.,positive
↓,neutral
👈🏼💦,neutral
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
Additional Update on “แปลรักฉันด้วยใจเธอ เต๋+โอ้เอ๋ว Fan Meeting” Ticket Refund.,negative
انتخابات_مجلس_الشوري,negative
UK media reports the England football team could be without a string of its stars in next year’s World Cup as at least…,negative
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
AsadUmar COVID19 Pakistan vaccine,negative
"Well, Bond and topgunmaverick were held back weren't they?",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"FDA advisers to review COVID-19 shots for young kids, boosters this month – ET HealthWorld",negative
Boosted! (yesterday) Thank you to the amazing vaccination teams . I have had three COVID-19 vaccines and a flu…,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
How our abuse of nature makes pandemics like covid-19 more likely,negative
The COVID-19 vaccine is not a cure.  It’s still experimental.  It’s risky.  It doesn’t stop a person from getting/giving t…,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Dow spikes 482 points after Merck's COVID-19 pill boosts recovery optimism  interesting,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Clear, as always! Thanks",positive
"As the 2022 Winter Olympics draw closer, one thing is clear China has not being transparent with its COVID-19 numbers.…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
