A major…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Australia recognized China’s Sinovac Biotech Ltd. COVID-19 shot and India-made AstraZeneca Plc jabs, paving the way for overs…",negative
Mortality from COVID-19 is in fact 3.5 times higher than from influenza among children in France.,negative
"In support of this,",positive
Block Moga Panjab,positive
HolidayVenues ReferenceLibrary Holiday Life Summer Sun,positive
President Cyril Ramaphosa talks about why men are slower to get COVID-19 vaccines 🤣🏃‍♀️. CyrilRamaphosa Khanyi Zuma Orani…,positive
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
Inside the upside-down world where Covid-19 vaccines are dangerous and ivermectin is saving lives,positive
Requiring COVID-19 vaccinations is such a positive.,negative
Why max 100 people in a Funeral but max 75…,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
“The biggest lesson from the Covid-19 fight is that India has an unparalleled ability to unite and a tremendous capaci…,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine. And you wonder w…",negative
California to Mandate Covid-19 Vaccines for All Students as Soon as Next Fall - The New York Times  via  aka an entire one year fuck nyt,negative
"",""
speaks with a nurse who is one of the tens-of-mil…,positive
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
President Cyril Ramaphosa talks about why men are slower to get COVID-19 vaccines 🤣🏃‍♀️. CyrilRamaphosa Khanyi Zuma Orani…,positive
"I do not understand why we don’t shut the entire clown act down. Fox News ‘anti-Vaxxers’, insurrectionists, Facebook and lit…",negative
"Muslim women Muhsina, her mother-in-law &amp; kid Athif jailed for meeting with her husband, Anshad Badruddin, jailed under UAP…",negative
"'Cannot believe we are here' US hits 700,000 COVID-19 deaths, a milestone we never expected to reach  より",negative
I love living in California.,positive
They’re encouraging pregnant women to get the 💉. Are they refusing to allow un💉💉ated people to see their babies?!?!?,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Syrians face common enemy across frontlines surging COVID-19 | \"It's a disastrous situation. The hospitals are completely…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"US hits grim 700,000 COVID-19 death toll milestone",negative
COVID19,neutral
Buckle…,positive
"Conducted brief dialogue on anti-criminality campaign against illegal drugs, continuous campaign against sexual assault, illegal gambling, anti-terrorism in relation to E.O. 70 and COVID-19 updates.",negative
Study was retracted - they did the math wrong D,negative
ASSAM RIFLES PROVIDES COVID RELIEF ASSISTANCE IN MANIPUR,negative
Two doses of the Pfizer and AstraZeneca Co…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Potential charges on Lt Col Scheller,negative
Covid-19 vaccination is the greatest need of today to get protected from corona virus.  volunteers are help…,negative
Ramaphosa says his government has managed COVID-19 “as well as it could”.,negative
FreeCovidVaccination,neutral
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
Reassuring visual from ONS,positive
Fox News thinks what?,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Rural Americans now dying of COVID-19 at twice the rate of those in urban environments research  @…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Despite of covid-19 effects, Pakistan is the only country in the region that increased export and GDP under the Leader…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"December 21, 2020 32142 pm",positive
