"",""
President Cyril Ramaphosa talks about why men are slower to get COVID-19 vaccines 🤣🏃‍♀️. CyrilRamaphosa Khanyi Zuma Orani…,positive
Mark McGowan touts WA's COVID-19 success to Labor Party faithful ahead of federal campaign – ABC News,positive
"The pathetic is to see a pandemic costing more lives in the USA than anywhere else, people with no credential feel worth to discuss measures. To be a MD or a nurse takes years with exam to validate. Virology is a new medical science, extremely complexe based on molecular biology",negative
"Tyler Gilreath, a 20 year old UNCW student died due to COVID-19 complications, and his mother \"cajoled, encouraged, threa…",negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"Alaska Air Group told employees Thursday evening they will be required to get a COVID-19 vaccination, with some exception…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Personal Choice is an American issue. Anyone who says otherwise is an enemy.,negative
A major…,positive
The secret powers have declared that the COVID-19 experiment is over and everyone that went along with it is to be sacrifice…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Breaking B.C. has recorded another 714 cases of COVID-19 and 11 related deaths, according to the B.C. Centre for Diseas…",negative
"No, you cannot inhale or ingest hydrogen peroxide to treat COVID-19",positive
"Thanks to a Whistleblower that came forth to Attorney Thomas Renz, hard data from the largest database available in the U.S.…",positive
COVID-19 TRAVEL BAN Lord Peter Hain tells UK Prime Minister Boris Johnson that keeping South Africa on the Covid red list is ‘preposterous’,negative
Clovis parents are crying and throwing up rn.,negative
"ECLGS Date extend for MSMEs As you people are aware that the time of covid-19 is still going on and still everything is not tired and not the right time for business has come, and now the third wave is also about to come, that is why the Government of",neutral
81.5 per cent of Victorians (over the age of 16…,positive
COVID-19 Detention Camps Are Government Round-Ups Of Resistors In Our Future? | ZeroHedge,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
B.C. reports 714 new COVID-19 cases and 11 more deaths.,negative
(Largely) unvaccinated people with Covid-19 are now causing shortages of drugs which kids with relapsed childhood leukemia ne…,negative
"Massachusetts, do better. maedu",positive
Please let’s look out for ourselves and our people. Buying and selling of COVID-19 card is a criminal offence. Please r…,positive
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Bissmillahirrohmannirrohim,neutral
65% say…,positive
Digital Covid-19 certs extended to Irish citizens vaccinated outside the EU,positive
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
