Why hasn't ivermectin been submit…,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"Deena, your nose has been growing of late...",positive
65% say…,positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Australia is on track to vaccinating at least as high a proportion of our population as the US.,negative
Say what? We're talking…,positive
If they claim the Virus came from a WetMarket why are the CCP still allowing these markets to stay open they are NOT reg…,negative
"COVID-19 will Promote People-Driven Healthcare, Health News, ET HealthWorld",positive
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
24) Another hopeful news for this drug — it could maybe help clear LongCovid chronic infection in the brain… Molnupiravir…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
All Front Line workers work in covid-19 pandemic awareded by NPP Mahuakheragan. All fornt line worker give Certificate Selfless service in keeping city clean. 02-10-2021,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
United has become the first airline to partner with Apple Health to allow travelers to use their verifiable COVID-19 vaccinat…,negative
"During the COVID-19 pandemic, masks became a part of daily life whether mandatory or voluntary. Now some experts say wear…",negative
Covid-19 Australia Western Australia to be closed for Christmas as premier refuses to open borders,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"",positive
This will go into effect following full…,positive
My badass governor,positive
"Alberta will hit 300,000 total COVID19AB cases over the weekend. There are currently 299,802.",negative
"",""
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
👀👇,neutral
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious gui…,positive
The amount of chronic disease that uncontrolled COVID-19 brings will probably require money to be printed…,negative
among Medica…,positive
"The reason youre not going to him to ask him to get the Polio vaccine, is because the Polio disease origins in the US ha…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"Hi from Portugal, a country with almost exactly the same population as Georgia (10.31 million vs GA's 10.62) and 1/7 the num…",positive
COVID-19 death rate in rural America now double that of urban communities,negative
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
"",positive
*…,positive
Sir...when you have time read scientific journals on COVID-19 which are freely available online. Some of these questions are answered,positive
Ableg News 🧵,positive
Please stop infighting and vaccination! Join us to eradicate the CCP!,negative
"Californians’ , welcome to dictatorship",positive
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine. And you wonder w…",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
BREAKING Gavin Newsom Announces COVID-19 Vaccine Mandate For K-12 Students  via,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
I am extending Louisiana’s statewide indoor mask mandate for another four weeks as the state’s overall COVID-19 outlook i…,positive
It isn’t his place. It’s no ones place to convince someone to get something they don’t want.,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
New Recoveries 131,positive
Like about 18 mo. and still you lie....,positive
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
Covid-19,neutral
17. Alberta’s seeing the most consecutive quarters of mass emigration (people leaving) in years,negative
Their recent Covid-19 deaths a…,negative
BREAKING California becomes first state to require COVID-19 vaccine for students,negative
"Covid-19 infection &amp; public health order update for north-east New South Wales, 2 October 2021",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"📍More than 29.2 million people in Canada have received their first COVID-19 vaccine (+39,861 today)",negative
"India recorded 24,354 new covid-19 cases,234 deaths in last 24 hours.",negative
Super simple poll.,positive
New Te…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
🎗️ Breast cancer is 2nd most common cancer among 🇺🇲 women,positive
🔹 Listen to,positive
PLEASE TAKE CARE..,positive
We've known this since April 2020. Restrictions do not change the spread of infection. All infection curves are red…,negative
"Children under 12 can attend with a vaccinated adult, but please note",negative
📍More than 27 mill…,positive
"Today’s statement from Dr. Bonnie Henry that, in children, influenza is more dangerous than COVID-19 is both false and mis…",negative
Why do these look like Vienna sausages,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
India Is Now COVID-19 Free By Using IVERMECTIN,positive
That's about one in ever…,neutral
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as the s…",negative
"Hi from Portugal, a country with almost exactly the same population as Georgia (10.31 million vs GA's 10.62) and 1/7 the num…",positive
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"So we have dozens of independent studies about other stuff and he ignores, but now when they just put out a press relea…",negative
California continues to lead the way.,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
She said what??,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
↓,neutral
