It is open for those 16 and over from 830am-1740p…,positive
"US deaths from COVID-19 surpass 700,000 Grim milestone reached as tens of millions refuse to get vaccinated even though the jabs are widely available.",negative
COVID-19 and Britain's post-Brexit immigration rules combined to result in an acute shortage of pig butchers and slaughterers.,negative
"Seems two children, one 13 and one 16, are the plaintiffs bringing the action for a judicial review questioning the UK’s drug regulatory, MHRA, and their authorization of COVID-19 vaccines in children...",negative
"So glad I left the shit-hole of a dictatorship that is California for a free state, Tennessee.",negative
And yet this government is responsible for 60murders a day🤷‍♀️,negative
➡️ Get tested for COVID-19 at one of our walk-in sites this weekend,negative
"We allow know that, millions of   Volunteers have given, their Selfless service in entir…",positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Half-year’s water tariffs should be waived as compensation Malaysia is enter'g an endemic phase where the public &amp; Covid-19 will co-exist. Water supply &amp; production lacking almost daily is akin to regress'g the rakyat &amp; the economy -,negative
VUMC research contributed to first COVID-19 pill now under review,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Details behind kidney transplant recipients' immune response to the virus that causes COVID-19,negative
"Swap and repo lines have become an integral part of the ECB’s toolkit. During the Global Crisis and the Covid-19 pandemic, t…",positive
“Rare” breakthrough cases are becoming increasingly common.,negative
Covid-19,neutral
If you don't need，Please help spread and forward,positive
Vaccine mandates cannot be justified.,negative
"US Crosses 700,000 COVID-19 Deaths Report",negative
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
"Covid-19 lockdowns have crippled manufacturing in Vietnam, driving some companies—including Nike and Lululemon—elsewhere and prompting some to rethink their reliance on the country’s factories",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Yeah such a long lasting protection from the vaccines that there need to be booster shots,negative
"The COVID-19 death toll has passed 700,000 in the United States.",negative
Forward to those who you think need this job,positive
How one Indian state's COVID-19 response could be a model for equitable healthcare.  CEO  explains more,positive
What wasn’t in existence the last time your club won a trophy?,positive
If you at…,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
If you don't need，Please help spread and forward,positive
"Stay safe, stay Home",positive
"If you have symptoms of COVID19, self-isolate (stay in your room) and get a COVID-19 test. Learn more about the symptoms of C…",neutral
"California Becomes First State To Require Covid-19 Vaccination For Students  slashdot skam240 writes California has just become the first state to add Covid-19 vaccination to its list of required vaccines for in-school attendance. \"The requirement will…",negative
Fully Vaccinated Justice Kavanaugh Quarantines After Testing Positive For COVID-19,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"US deaths from COVID-19 surpass 700,000",negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
COVID-19 Vaccine | Cosatu concerned about certificates  via,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"The first  batch  of government  procured   Johnson  and Johnson  vaccines (196,800 doses) are expected  to arrive in the coun…",negative
"With the Angeleno card,  helped provide financial relief—and hope—when people needed it most. Learn more about the program on the latest OracleRoadTrip pit stop in LA",positive
…,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Antibody tests for COVID-19 remain popular in Russia,negative
What a bloody mess. You know what would have prevented this? Not locking up refugees.,negative
"10 public entertainment, nightlife outlets under investigation for breach of liquor control, Covid-19 rules",negative
"Analysts said that after reviewing benefits for the three largest plans from top insurers, it saw stability to modest improvements, indicating conservative bids among the uncertainty of the COVID-19 pandemic.",negative
Forward to those who you think need this job,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
مارخور,neutral
Merck seeking U.S. approval for 1st oral antiviral COVID-19 drug after a potential breakthrough,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Super simple poll.,positive
There have been 362 COVID-19 related deaths in NSW since 16…,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"Did you know the FDA has approved a COVID-19 vaccine? Dr. Janet Woodcock, Commissioner of the FDA, discusses the approval—and h…",positive
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine – The Expose,negative
"India reported 24,354 new COVID-19 cases in the last 24 hours, informed the Ministry of Health and Family Welfare on Saturday.",negative
Forward to those who you think need this job,positive
People jumped from windows to escape a fire at a hospital in Romania — the third deadly blaze at a healthcare facility in less…,negative
"Complete bullshit, total lie and anti-science disinformation. Just lazy propaganda. They cite a single garbage ass study and neglect to account for dozens that indicate natural immunity is as good if not better than protection granted by vaccine.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Could $ABCL be part of this ?,positive
"\"Research finds NO EVIDENCE that schools are playing a significant role in driving spread of the Covid-19 virus in the community\".",negative
Saturday 👇,positive
"That's 175,000 Benghazi attacks.",negative
"PHAPI Severe, critical COVID-19 cases increasing",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Can someone please make it make sense.,negative
Super simple poll.,positive
Me Covid-19 Vaccines wasn’t in existence the last time Arse…,negative
No Covid-19 case in 44% of Uttar Pradesh districts.,negative
65% say…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
The COVID-19 pandemic has had a significant impact on people's mental health. Please share with us (icday.org) how yo…,negative
"YouTube is taking a tougher stance to crack down on COVID-19 vaccine misinformation. This includes claims that vaccines cause autism, cancer or infertility.",negative
BReaKtHrouGH cASe!,positive
Merck says antiviral COVID-19 pill halves death and hospitalizations,negative
Over 1.4M Bulacan residents already got jabs vs COVID-19,negative
Antibody tests for COVID-19 remain popular in Russia,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
Artist Commissions The  Walking Publics/Walking Arts project seeks to commission artists’ walks responding…,positive
They  blame fans for Hillsborough. They blame fire service/residents for Grenfell. They blame the NHS for COVID-19 deaths. Why wouldn’t they blame women for being raped and murdered? SarahEverard,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
COVID-19 Update For October 1 2021 In Nigeria,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"US surpasses 700,000 Covid-19 deaths amid case resurgence - The United States finds itself having notched the most fatalities in the world, far exceeding other frontrunners such as Brazil and... -",negative
Covid-19 vaccines.,positive
📍 Medway Park Sports Centre 9am to 5…,positive
Join us at EB  for the launch of Unbecoming by Joanne Fedler.,positive
"MA premiums will dip as Cigna, UnitedHealth …",negative
"According to the Medicare Tracking System,",negative
↓,neutral
Is Covid-19 more lethal in a funeral??,negative
65% say…,positive
7 Day Covid Growth in Deaths per 1K Population by County For MO   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"I mean, if I were an anti covid vax (let’s face it they ain’t anti vax they all got vaxed thru school) anyway, if I were an…",negative
The advisory panel of FDA to review COVID-19 shots for young kids,negative
Learning languages and beating loneliness.,negative
You're welcome!,positive
Make sense.,negative
Ex-Pfizer Employee Warns Vaccine Increases COVID By Over 300%,positive
"",positive
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"In a potential leap forward in the global fight against the pandemic, drugmaker Merck said Friday that its experimental pill for…",positive
"⛔️⛔️ I would highly reccomend that everyone reading this look up, “Cyber Polygon World Economic Forum”…",positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Fully Vaccinated Justice Kavanaugh Quarantines After Testing Positive For COVID-19,negative
CBSNews Senator Feinstein introduces bill requiring vaccine or negative COVID-19 for domestic flights,negative
"CBSNews CDC \"strongly recommends\" COVID-19 vaccine for pregnant people",negative
Who bought the Covid-19 vaccine WTF are you talking about because I went to vaccinate and I didn't pay a cent.🤣😂,negative
"Associated Press Merck says COVID-19 pill cuts risk of death, hospitalization.",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"Yet anti-vaxxers don't hesitate to take/promote drugs with no proven benefits for treating COVID and that aren't approved for treating COVID. I had my flu jab yesterday, after two COVID-19 jabs earlier in the year, and I'm feeling great!",negative
"A wholly obvious, commonsensical, and correct decision. Not a single anti-vaxxer has ever explained why this FDA-approved…",positive
There are now multiple therapeutics for a virus that has a 99% survival rate.,negative
the total number of Americans that died within 14 days of receiving the COVID-…,negative
"FDA advisers to review COVID-19 shots for young kids, boosters this month – ET HealthWorld",negative
Veteran Liberal MP Russell Broadbent says he hasn’t been vaccinated against COVID-19 and doesn’t want to take any of the jabs c…,negative
📢Dear all the fans who bought Kao Photo books,positive
👈🏼💦,neutral
When this happens here I will home school my Covid recovered child!,negative
Map COVID-19 transmission levels in California by county,negative
"Excellent thread on what endemicity really means. If we decide to let COVID-19 become endemic everywhere, it doesn’t mean it…",positive
Science denier! Covid is less of a risk to kids than the flu.,negative
