Why is this happening to the vaxxed⁉️ We need answ…,negative
BREAKING --&gt; American Airlines announced Friday that employees will need to be vaccinated against COVID-19 in order to remain…,negative
Planning a long-awaited overseas trip? You'll need the NHS COVID Pass to demonstrate your COVID-19 status. The pass is FR…,positive
"This is our WA COVID-19 weekend update for Saturday, 2 October 2021.",positive
bitcoin bsc covidtoken crypto cryptocurrency covid19 token,positive
It’s Laughable That Nigerian Government Makes COVID-19 Vaccine Compulsory -  | Sahara Reporters,negative
COVID-19 vaccination camps have been set up by DeraSachaSauda from place to place in order to protect people from the…,negative
COVID19 CovidVaxExposed Vaccines 💉❌💉❌,negative
65% say…,positive
"it don't matter whether you are a Democrat or a Republican. Wear a mask, avoid crowded areas, and get vaccinated ASAP. Doing…",positive
It’s Laughable That Nigerian Government Makes COVID-19 Vaccine Compulsory -  | Sahara Reporters,negative
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
(Oct.) 900-1800 / (Nov.-Jan) 900-1730.,positive
TGA and Hunt will have more blood on their hands if they ignore this.,negative
"",""
Pfizer &amp; Moderna…,positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
This doesn't look like an error. It looks intentional. She pick up the empty syringe. When injected she notice that the syrin…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as the s…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
* Closed i…,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
A night after “Aladdin” on Broadway reopened following a one-night closure due to COVID-19 cases reported within the musica…,negative
