"COVID-19 mortality risk correlates inversely with vitamin D3 status, and a mortality rate clos…",negative
IS THIS MIC ON?!!!!!!,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
Super simple poll.,positive
"Like, politicians announce vaccine mandates for kids",negative
FreeCovidVaccination to pe…,negative
Commentary Malaysia’s rapid COVID-19 vaccination cannot make up for its shortcomings - Newsworldpress @,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
65% say…,positive
$200m is needed to put in place the needed infrastructure for the manufacturing of COVID-19 vaccines in GH. The Presidential C…,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
California mandates covid vaccine for all schoolchildren as soon as the 5-11yrs will get FDA approval,negative
"\"The Testimonies Project was created to provide a platform for all those who were affected after getting t…",positive
The COVID-19 vaccine greatly reduces the likelihood of contracting and spreading the disease 💉,negative
crypto,positive
65% say…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Minister of Health Dr. Alkuwari   discusses Qatar’s efforts to manage COVID-19 peak, why Qatar, alongside Si…",positive
"Over 850,000 people have already had their vital COVID-19 booster jabs.",negative
before the FDA approves the…,negative
Covid-19 vaccinations Only four percent more to go before interstate travel allowed,negative
↓,neutral
SafetyFirst,neutral
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
As for Fauci how many times Fauci been wrong with the Covid-19 and how to react to it?  He's been wrong from the very start of this thing.  Not sure he would be very dependable to take advise about a vaccine.,positive
Post Edited Japan lifts COVID-19 restrictions for first time in 6 months,negative
"FDA advisers to review COVID-19 shots for young kids, boosters this month",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"If you’ve had COVID19, you may have some natural protection, or immunity, from the virus, but we don’t know how long that last…",positive
"PARIS- Another Saturday, another protest anti Covid-19 sanitary pass. \"We're here! We're here!\" chant protestors as th…",negative
But why did they shut down the school if Covid-19 to them now is more like a normal flu after all the immune they acquired and booster too at their disposal? Don't you think they are crazy?,negative
Clovis parents are crying and throwing up rn.,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
cryptocurrency crypto altseason defi enrichedfeed smartcontracts furucombo dex cex,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"PARIS- Another Saturday, another protest anti Covid-19 sanitary pass. \"We're here! We're here!\" chant protestors as th…",negative
Sir every body knows that no COVID-19 had remained or any big reasons,positive
‘All my friends are getting vacc…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
EFF Statement On Adjusted Level-1 Lockdown Regulations And,negative
"",""
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are…",positive
NowThis,neutral
"",positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"\"Merck Says Antiviral Pill for COVID-19 Is Effective, Plans to File for Emergency Authorization\"",negative
↓,neutral
👈🏼💦,neutral
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
The very real and tangible dangers of reporting on pre-prints without sufficient scepticism.,positive
There’s no such thing as it bein…,negative
