65% say…,positive
BReaKtHrouGH cASe!,positive
"New pill claims to cut Covid-19 death, hospital risk",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
“54 children sent to hospital is 54 too many. It’s just not acceptable. COVID-19 can be mitigated with simple public heal…,negative
COVID-19 has been infected by Brett Kavanaugh,negative
Every time I see the phrase “had received one dose of a COVID-19 vaccine” it reminds me that our delayed  and patchy rollo…,negative
California is the first state to announce that it will require all schoolchildren to get vaccinated against COVID-19 once the FDA…,negative
"Navajo Nation Covid-19 UPDATE With 74 New Cases on Friday Total Cases Surpass 34,000",negative
"The United States surpasses 700,000 Covid-19 deaths today. It was only ~108 days prior when we reached 600,000 deaths",negative
before the FDA approves the…,negative
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
A study of COVID-19 infections in Kentucky among people who were previously infected with SAR-CoV-2 shows that unvaccinated individuals are more than twice as likely to be reinfected with COVID-19 than those who were fully vaccinated after initially contracting the virus.,negative
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
Bad news for the Left,negative
"3 in 10,000 cases.",positive
This will go into effect following full…,positive
Three COVID-19 pneumonia treated with ivermectin monotherapy. Dose 0.2 mg/kg every other day.,negative
👈🏼💦,neutral
"During a press conference today, Health Minister Martin Foley stated that 78% of the people in hospitals with Cov…",negative
Correct.  But nothing will stop it.  Republicans are unprepared to confront Democrats.,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
Lisa Murkowski is a fucking RINO bitch!,positive
Finland To Start Vaccinating Minks Against COVID-19 - NDTV,negative
NBA star Draymond Green speaks out against COVID-19 vaccine mandates.,negative
"",""
↓,neutral
3.4 billion single-use fa…,neutral
