This will go into effect following full…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BLF is the only political formation that is against COVID-19 experimental vaccines in this upcoming local govt elections.…,negative
Naughty nurse Nathalie!! She's been taking care of Covid-19 patient for past year and ready to space out!! She chews gum so she stick on The Gum Wall in Seattle.,negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"Ontario makes it mandatory for long-term care staff, volunteers to be fully vaccinated against COVID-19 by Nov. 15",negative
"Yes, you read that right. The COVID-19 vaccines have saved over 400,000 lives in Canada so far.",neutral
He’s just had his first dose of the COVID-19 vaccine.,negative
The former  chief  m…,positive
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"Mrs \"I'm going to get in trouble if I answer any questions\" is submitting bills for her handlers....",positive
* Closed i…,negative
GovWare Conference promises a stellar line-up of programmes as we address this year’s theme “Living with COVID-19 - Re…,positive
"Sadly no surprises here. Living in poverty, large households, poor WASH facilities. Poor access to medical care, understaffed hospitals, lack of quality care, lack of basic equipment &amp; oxygen etc etc. Now profound vaccine inequity.",negative
"As of Friday, October 1, UAB Medicine has 46 COVID-19 hospitalizations. Of those hospitalizations, 9 are vaccinated, 37 ar…",negative
“54 children sent to hospital is 54 too many. It’s just not acceptable. COVID-19 can be mitigated with simple public heal…,negative
"As the 2022 Winter Olympics draw closer, one thing is clear China has not being transparent with its COVID-19 numbers.…",negative
"Florida reported 14,334 COVID-19 deaths this summer — the highest count of any state.",negative
How many monoclonal antibody sites does Ontario have?,negative
"That's their choice.  The other 29,920 UNC Health workers made a better one.",positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Dr. Theresa Tam, Canada’s chief public health officer, suggested vaccination coverage may now need to be 80 per cent for the w…",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
In quarantine 281,negative
Appreciate this clear and specific headline from my col…,positive
He was a sheriff. Ffs.,positive
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
Covid-19 mutates in this politically useful and highly unlikely way in the same way as it is intelligent enough never…,positive
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are…",positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
My disabled son got his covid-19 vaccine booster today. So happy! 😊,positive
"As a very pro-vaccine physician, this is not a good idea.",negative
Why hasn't ivermectin been submit…,negative
"US COVID-19 death toll eclipses 700,000",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Covid-19 pill out…could be rolled out in months,neutral
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
"Tatyana Rideout, 27, wasn’t sure about getting the COVID-19 vaccine while pregnant. Instead, she limited the number of peopl…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
↓,neutral
Local contacts 197,positive
These estimates come…,positive
"Pfizer claim their Covid-19 Vaccine is safe for Children, but can they be trusted? They've said this before, then killed and maimed 200 children in an experimental drug trial",negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
Drugmaker Merck says its experimental COVID-19 pill reduces hospitalisations and deaths by half.,negative
‘All my friends are getting vacc…,negative
"That's their choice.  The other 29,920 UNC Health workers made a better one.",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
👈🏼💦,neutral
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Yes! Amazing!,positive
better get their 💩 together‼️,positive
"\"A senator just introduced a bill to require COVID-19 vaccinations for domestic flights\"  Senile",negative
US surpasses 700K deaths; young children may be able to get vaccinated before Halloween Today's COVID-19 updates – USA TODAY,negative
Cybersecurity Risk Management During the Covid-19 Time. via,neutral
This post also explains how COVI…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
BReaKtHrouGH cASe!,positive
➡️ Most people with post-vax inflammation have mild illness &amp; recover quickly,negative
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
Is it possible that shutting down construction for 2 weeks may have lead to cases rising faster?,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"There's two statistics you need to remember, but the government wants you to forget",positive
This will go into effect following full…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Resist!,positive
Dr. Li-Meng Yan tells us that in China they are using hydroxychloroquine to combat the COVID-19 virus.,negative
Australia's NSW state premier resigns over corruption probe amid COVID-19 battle,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
Very clear and important article,positive
"ATTORNEY THOMAS RENZ \"We Got Them. Fact Check Thi…",neutral
He was a sheriff. Ffs.,positive
The world is fighting 2 pandemics. COVID-19 and STUPIDITY😑,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
I think it's great that all these basketball players are speaking up honestly about this issue recently. 🙌🏾,negative
"",""
(D…,positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"Just days after third Indigenous person died from Covid-19 in NSW's rural communities, the fed govt awarded a contract by…",negative
The Coronavirus Pandemic Establishes The Stage for Hacking,negative
Here's how the drug works…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
I got Covid-19 in January.  Got a prescription for Ivermectin and was cured in 12 hours.,negative
NSW Health extends its sincere condolences to their loved ones.,negative
↓,neutral
CRM cybersecurity cyberaware…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Visiting info on Sungnyemun Gate,positive
➡️Heart inflammation risks are MUCH high…,negative
Covid-19 Report For 1st October,positive
Kade Miller from LinkedIn says Due to COVID-19 more businesses are turning to prabhuwrites prabhu hymprudious  coronaviruspandemic prabhudattasahoo,negative
Alabama GOP governor signs bills to use Covid-19 relief funds to build prisons into law,negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
S Africa Reduces COVID-19 Lockdown To Degree One,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"Alberta ER doctor says hospital capacity crisis was ‘created,’ has nothing to do with COVID-19 - LifeSite",negative
Concurring!,negative
1. The COVID-19 survival rate for t…,negative
Critics slam Alabama's plan to spend federal Covid-19 relief funds to build new prisons  reports,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
👈🏼💦,neutral
"U.S. COVID-19 death toll hits 700,000",negative
"\"fact checkers\" \"CDC\" neither of you make good decisions. I have been having more issues with my allergies then the cov and your telling me no natural immunity is possible? At least 13 people I know caught but....NOT ME!! what do I say? Thank you Jesus",positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Improve COVID-19 Immunisation Coverage of Elderly Population WHO,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"Measles was discovered in 1911, the human safe vaccine was finally approved in 1957. That’s 46 years Gavin. This experimental drug for COVID-19 hasn’t even been out a year. You have no idea if it’s safe or not. There’s no long term effects study you can point to. Stop this.",negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid…",negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
New Zealand reports 27 COVID-19 cases amid anti-lockdown protests,negative
"The reason youre not going to him to ask him to get the Polio vaccine, is because the Polio disease origins in the US ha…",positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Respect.,positive
Red or Blue pill covidpill redorblue matrix,positive
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
There have been 362 COVID-19 related deaths in NSW since 16…,negative
"Dr. Theresa Tam, Canada’s chief public health officer, suggested vaccination coverage may now need to be 80 per cent for the w…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"Thomas, 15, high school student.",positive
· Opening times Closed every Monday.,negative
New Positive Cases 478,negative
"Yet isn't it the case that either past infection or a full vaccination course *typically* yields significant protection (outside immunocompromised, very elderly, etc.) due to antibodies plus immunological memory?",negative
'I expect every state will eventually adopt a Covid vaccine mandate.'  weighs in after California announced it wi…,negative
"Biden could be in a coma and I’d Vite for him over Trump!  is the dumbest pos PERIOD. Also, if anyone faked anything, it’s Rohan faking COVID-19 to say Ivermectin cured him. What a prick.",negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"Just days after third Indigenous person died from Covid-19 in NSW's rural communities, the fed govt awarded a contract by…",negative
"80 of 30,000 UNC Health workers quit over COVID-19 vaccine mandate",negative
This will go into effect following full…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
1/,positive
This will go into effect following full…,positive
New Zealand reports 27 COVID-19 cases amid anti-lockdown protests,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
This post also explains how COVI…,positive
"California will require students to be vaccinated against COVID-19 as early as January, once the FDA gives its approval, Gover…",negative
Wow! That’s soooo awesome! Thanks for helping! 👍🏻👏🏻👏🏻👏🏻 We won’t forget all your excellent help! NeverForget,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
“Why are you pressing it so hard?” - Draymond. Because almost 700k have fucking died and hospitals are fucking ran over. You…,negative
"The superrich and the super famous have always taken over resorts, always at great cost. But since Covid-19 hit and intrepid types…",negative
Dear Mrs Ocasio- Cortez🌹 . can i please ask you to look at me and my daughters campain. We are currently homeless due to covid-19 and are trying to be Reunited. If you are able to  or contribute we would be forever greatful to you . Thank you🙏,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
