The Postal Service™ is temporarily suspending international mail acceptance for certain destinations due to impacts related to the COVID-19 pandemic and other unrelated service disruptions.…,negative
"This is a decision that should have been decided upon by the legislature, not mandated by the governor. It’s also a fi…",positive
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
Personal Choice is an American issue. Anyone who says otherwise is an enemy.,negative
💔 418…,positive
7 Day Covid Growth in Deaths per 1K Population by County For NC   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
September marked the biggest month of d…,positive
The RISE of Remdesivir ; ACTT-1,positive
"‘A devastating shock’ UNCW student dies due to  COVID-19 complications, mother pleads for young people to get vaccinated",negative
"There is little to no risk to children from COVID-19 whilst there is definite risk from the mNRA vaccines.  Please don’t encourage further injustice in this country, based on your unsubstantiated fears.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
4/5,positive
MugiBlogs |  Partners With  &amp;   On COVID-19 Vaccination Drive. GetVaccinated,positive
"",""
There’s also 0% evidence that it helps any COVID-19 patient and plenty of evidence that it is harmful when misused the way people are in lieu of actual proven effective vaccines. You people will do anything except what science actually shows to be affective. Sad.,positive
"CNN   The US has surpassed 700,000 Covid-19 deaths.",negative
"- 36,878 vaccines administered",negative
And,negative
STORY,positive
"US reaches 700,000 COVID-19 deaths | TheHill - The Hill",negative
Study There's no difference in COVID-19 viral load between vaccinated and unvaccinated; symptomatic or asymptomatic,negative
"Lord, if Harry Roque became a lawyer, so can I. Amen.",positive
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
“The government ought to look at ways of cushioning Kenyans against the devastating impact of COVID-19 on their livelihood…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",positive
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Anti-lockdown protesters have rallied on Auckland as New Zealand reports 27 new COVID-19 cases.,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Research associates excessbodyweight with COVID-19 mortality,negative
Dan &amp; rest of Australia can learn from,positive
One of the choices is Sotr…,positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"Re Maximus saying to do the UK next... Yes indeed, the UK is at the heart of the grossly disproportionate and ill-targeted global covid-19 response, see for example my email to Andrew Pollard",positive
Science isn’t based on anecdotal evidence. Merck makes Ivermectin &amp; reports,negative
- Focus on strict observance of COVID-19 guidelines,positive
How much damage has been…,negative
Spain’s Covid-19 vaccination drive nearly 40% of population has received at least one shot. A woman getting a Covid-19 shot at Zendal Hospital in Madrid.,negative
"- 71,224 test res…",positive
"As of 10/2/2021, 33550 PM",positive
I'm not taking advice from a magazine that…,neutral
God should help me to postpone Xmas to Feb. 2022.   Kubanga... COVID-19 🏃🏃,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
President Cyril Ramaphosa talks about why men are slower to get COVID-19 vaccines 🤣🏃‍♀️. CyrilRamaphosa Khanyi Zuma Orani…,positive
Get a grip,positive
"",""
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
Let’s talk about Cyprus.,positive
The FALL  SOLIDARITY DisCoVeRy,positive
Super simple poll.,positive
This will go into effect following full…,positive
Freedom of choice,positive
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
In this 80% vaccinated 65+,negative
"",""
The number of daily cases of coronavirus  increased in China,negative
"1) there is no scientific basis for a potential therapeutic effect against COVID-19 from pre-trial studies,",positive
"\"So many of these deaths were preventible,\" says . \"It was inaction…ineptitude, the fact that we don't have a true health care system, as much as a sick care system…racial inequities…fealty to indiv…",negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"291 people test positive for Covid-19 from  6,501 samples, positivity rate at 4.5 pc; death-toll hits 5,128 after five…",negative
Australia Victoria PM Daniel Andrews - every authorized worker across Victoria will need to have at least one dose of a…,positive
Veteran Liberal MP Russell Broadbent says he hasn’t been vaccinated against COVID-19 and doesn’t want to take any of the jabs c…,negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"Library news, Catering news, PE Update and clubs, Assemblies, What’s On, Speakers for schools, Meet the new teachers, Cov…",negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dyin…",negative
Brett Kavanaugh tests positive for Covid-19,negative
VÍCTOR LERENA (EFE)  via,positive
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
*MR UBE NEWS is FREE,positive
And,negative
65% say…,positive
"US reaches 700,000 COVID-19 deaths | TheHill - The Hill",negative
"US deaths from COVID-19 surpass 700,000  via",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
An important 🧵 on why global vaccine equity is so important.,negative
Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
Waning Effect of COVID-19 Vaccines in 5.6M U.S. Study Cohort,negative
"population, an estimated 60% of",negative
Time for monoclonal antibody treatment,negative
2) there is a concerning lack of safety data in the majority of studies.,positive
Infographic COVID-19 Outbreak &amp; Cover-up,positive
"",""
