and  this is why  needs t…,negative
$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$…,neutral
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
Buried in the comments…. and the MurdochGutterMedia would have you believing NSW has lost their “Covid crusader”. Condolences to the family of these poor people covidnsw GladysOutbreak GladysGone,negative
"NPR San Francisco schools report zero Covid-19 outbreaks after 90% of eligible students fully vaccinated, according to the…",negative
EFF Statement On Adjusted Level-1 Lockdown Regulations And,negative
👈🏼💦,neutral
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"Yet again, 0 covid cases acquired from people coming in from overseas. Bring strandedaussies home",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world - Reuters,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Hi medam !,positive
COVID-19 the New normal,positive
Oh. Hello algorithm. We’re coming for ypu.,positive
Super simple poll.,positive
Government COVID-19 Response,negative
"",positive
We are all requesting to you Has for covid-19 promoted first year exam That's why now started 2nd year  offline classes we forgot all first year syllabus then consider exam We are feeling very Badaun Please medam it's a humble request don't consider first year exam,negative
A major…,positive
"The saddest part of it all is how it will affect Māori, because most of his cult base is Māori, sucked into his lies and…",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition,negative
...remember that Australian doctors are under a GAG ORDER to NOT discuss jab/shot risks with patients and to NOT deviate f…,negative
"Since the school year began, the US has reported nearly 1 million COVID-19 cases among students.",negative
"",positive
"Throughout the pandemic, there has been an apparent contradiction - low-income places appear to have lower death rates from COVI…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
Over 90% of people in the ICU due to COVID-19 are not fully vaccinated.,negative
Do you believe that Australians should lose their job if they…,negative
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine – The Expose,negative
Reminder Getting tested is still vital to keeping each other safe from COVID-19. That’s why we’re doubling capacity at our…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
You should probably just give up. You already lost.,positive
65% say…,positive
"Your risk of dying after an accident involving a motor vehicle in Australia is 125,000. Your risk of dying after the As…",negative
New from  and myself,positive
How many would've survived had they been offered Monoclonal antibody tx?,negative
Tq.,negative
How COVID-19 Has Affected Small Business Marketing Requirements [Infographic],positive
"Three days after reopening for the first time in 18 months, the Broadway hit “Aladdin” is shutting down until Oct. 12 because of br…",negative
"Damn, if only he'd been a horse.",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
End of transmission.,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
me trying to justify my low grades,negative
"So, we looked at the infection fatality rate (IFR) of COVID-19 in every place that we could find, using antibodies to estimate t…",negative
"Around 400,000 COVID-19 Deaths in January, 2021. Now the US. Is over 700,000 Deaths in 7 months of Joe Biden, over 300…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Wow - Portugal almost fully vaccinated and opening up,",neutral
FREE to patients who meet criteria se…,positive
"80 of 30,000 UNC Health workers quit over COVID-19 vaccine mandate",negative
Insider spoke to frus…,positive
"COVID-19 Update Assam relaxes restrictions, allows cinema halls to reopen",positive
"COVID-19 Update Assam relaxes restrictions, allows cinema halls to reopen",positive
"Just eight of the 33 Vermonters who died of  Covid-19 in September were Unvaccinated, the Vermont Department of Heath sai…",negative
BREAKING Fully-vaccinated Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
"Please, get vaccinated - and help family and friends…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Woolworths Ararat will close at 6pm today due to the number of staff in isolation awaiting their COVID-19 test results. The…,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
This will go into effect following full…,positive
"Meet Molnupiravir, Merck's Pill That Cuts COVID-19 Hospitalization and Death By About Half",negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
Global Covid-19 deaths hit 5 million as Delta variant sweeps the world,negative
Navy officer co-ordinating rollout says it,positive
A sequence of events in early 2020 suggest that Fauci and a small group of scientists…,positive
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
This will go into effect following full…,positive
"The United States reached its latest heartbreaking pandemic milestone on Friday, eclipsing 700,000 deaths from Covid-19 jus…",negative
"NEW – For the latest detailed epidemiology of COVID19 in Canada with highlights, trends and analysis see PHAC’s COVID-1…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"COVID-19 Update Assam relaxes restrictions, allows cinema halls to reopen",positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"COVID-19 Update Assam relaxes restrictions, allows cinema halls to reopen",positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Get fucking vaccinated! I am so pissed of at the anti-vaxxers particularly for those whose lives are put at risk.,negative
‘REQUIRES PEOPLE WHO ARE…,positive
"Serious side effects from the COVID-19 vaccine are so rare as to almost be non-existent. Millions of people have received the vaccine; this is one of the largest phase IV clinical trials in history, in a sense. We have good data. The vaccines are safe &amp; effective.",positive
The decision to disallow celebrations hurt the sentiments of the community,negative
Appreciate this clear and specific headline from my col…,positive
"MintPremium | Australia plans to start reopening its international border in November, ending one of the world’s strictest pandemic-era travel bans as authorities pivot from trying to suppress Covid-19 to living with it.",negative
What an effort. All the spots are gone for today but still plenty available for tomorrow. Jump online and get your jab …,neutral
"Hospitals in Fairbanks and Kodiak are now operating under crisis standards of care, as the state reported more than 1,000 new COVID-19 cases on Friday. The standards were activated in Fairbanks “due to a critical shortage of resources.\"",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Merck's experimental antiviral COVID-19 pill is a step in the right direction toward saving lives and removing a threat to reo…,negative
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Sask…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Bad news for the Left,negative
"",""
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Growth in 7D US Confirmed Covid Deaths by County For TN   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
I can proudly report that general practices across Australia have delivered more than 15 million COVID-19 vaccines. Wel…,negative
Can someone please make it make sense.,negative
↓,neutral
"",""
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
LOOKING FOR BLOOD DONATION,positive
The news is pretty grim 🧵,negative
Is Covid-19 more lethal in a funeral??,negative
👈🏼💦,neutral
"Hey Mitch,",positive
Take the time to have the dots connected .. look all through the movie!!,positive
↓,neutral
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
Why max 100 people in a Funeral but max 75…,negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Justice Sotomayor declines NYC teachers' request to block COVID-19 vaccine mandate Kudos to Justice Sotomayor! We fight COVID19 Pandemic with the vaccines and now medicines!,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world - Reuters,negative
"Pyramax is a combination of pyronaridine phosphate and altesunate, which inhibits the intracellular entry and assembly of the COVID-19 virus, while activating type 1 interferon pathway to improve lung lesions such as inflammation caused by the virus.",negative
Walgreens’ COVID-19 Testing Registration System Exposes PII   databreach heal…,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
Photo collage. Realism Photography.,positive
dknedier,neutral
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"From October 4, all UK nationals arriving in India from the UK, irrespective of their vaccination status, will have to u…",negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
I have just seen a US version...let's see what Aussies think!,positive
"Type Any type of blood (fyi, kalau pakai hospital blood bank kita boleh gnti dengan any type of bl…",positive
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"if you buy something from her ,there is nothing to do with me ! do you understand it ?it related to the covid-19  compensation ,if italy want to pay $4Tbill ,why not ?   LAPO LAPO LAPO ! what the fuck again !",neutral
Ivermectin is cheaper and less political. DO THAT INSTEAD.,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
COVID-19 vaccine mask vaccine COVID-19 Ivermectin,positive
