←資料,neutral
Warren County urges vaccination after local man dies from COVID-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"More of these, please 🤣",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
How Merck's antiviral pill could change the game for COVID-19  via,negative
"Alberta reports 1,630 new cases of COVID-19 (10.3% positivity). There are 20,215 (-40) active cases. 1,066 people are in hospi…",negative
"Let it be known for the history books that in 2021, health officials in Canada actually told it's people it was okay t…",negative
Bad news for the Left,negative
This is government overreach on an unpre…,negative
ND governor warns hospitals reaching capacity due to COVID-19 cases | TheHill,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
NINETY EIGHT PERCENT VACCINATED AMONG ELIGIBLE AGE GROUPS ALLAH WHY DID YOU PUT ME IN THIS PRIVILEGE INFESTED CONTINENT,negative
FFS. California will only allow kids to go to school if they get the vaccine.,negative
‘Everything was decided for us’ Saskatoon long term care resident describes ‘inhumane’ hardships of COVID-19 lockdowns SelfCare MentalHealth [Video],negative
COVID-19 vaccines New Zealand's most Googled questions answered,positive
"Merck &amp; Co. push for approval of COVID-19 pill, molnupiravir. Previously, the drug was declined by and declared to be mutagenic by Pharmasset &amp; HHS whiteblower, Rick Bright.",negative
"",""
Crazy that statistically children are more likely dying on the way to school in a car than Covid-19 in school!,negative
"With 700,000 dead, the COVID-19 epidemic is the deadliest in American history, despite the fact that we have an effective, free, widely available vaccine. There's something wrong with this picture.",negative
before the FDA approves the…,negative
"Thomas Renz \"We Got Them. Fact Check This!\";  All new whistleblower info",positive
↓,neutral
novaccinepassports clotshot mandate vaccine,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"The reason youre not going to him to ask him to get the Polio vaccine, is because the Polio disease origins in the US ha…",positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"The Broadway hit \"Aladdin\" is trying to keep COVID-19 contained.",negative
A major…,positive
NEW California Governor Newsom says children will be required to get vaccinated against COVID-19 to come to school; mandate t…,negative
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"Your Connect Chair, Tejal Vaghela got her booster does of COVID-19 vaccination today !! 💙🙌",negative
"",""
Now almost 5am on Saturday 02/10/21. The Covid-19 statistics usually shown on the channel within 1 to 2 hours of release. Is now 12 hours since the figures were released for Friday. Info for Thurs 30/09/21 still shown 36 hrs old This is a News channel? That I pay for!,negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Note Those states have scope but will not perform well shall be considered as improper affectionate.,positive
Disney Theatrical Productions said it will cancel all shows unti…,negative
I’ve got a bad case of NewsomEnvy.,negative
The Total number of…,positive
A Chinese citizen journalist whose viral videos offered an unfiltered early glimpse of the Covid-19 outbreak as it consumed the ci…,negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
↓,neutral
👈🏼💦,neutral
PLEASE ALSO PRAY THE REVISED VERSION OF THE ORATIO IMPERATA AGAINST COVID-19,positive
Infographic COVID-19 Outbreak &amp; Cover-up,positive
↓,neutral
🔹Active cases - 319,positive
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"The NWT added almost 100 new Covid-19 cases since Wednesday. There are now 341 active cases, 219 of them in Yellowknife – a…",negative
People should just GetVaccinated so they won’t have to take this to save their lives.,negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
"Hi Fam! I made a GoFundMe w/ the help of - please share widely, notice non-monetary donations are deeply app…",positive
Merck's announcement of a COVID-19 pill that could slash the chance of hospitalization or death for patients at risk of severe…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"The Broadway hit \"Aladdin\" is trying to keep COVID-19 contained.",negative
Super simple poll.,positive
👈🏼💦,neutral
Growth in 7D US Confirmed Covid Deaths by County For ND   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"As a very pro-vaccine physician, this is not a good idea.",negative
👀👇,neutral
LOOK! COVID19 Infographic Covid-19 Outbreak &amp; Cover-Up -,positive
🧵 The COVID-19 Omnibill is set to change rights for renters under lockdown. It makes some good steps but the bill can go…,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
